De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature SBS1 (3.66%) & Signature SBS4 (81.06%) & Signature SBS5 (15.28%), 24.41,  21.76, 0.049, 0.98, 0.96
Signature 96-B, Signature SBS1 (6.86%) & Signature SBS2 (27.76%) & Signature SBS5 (32.52%) & Signature SBS13 (32.86%), 30.02,  18.97, 0.099, 0.98, 0.98
