Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	15	0.887	14.103	94.02%	3.042	50.01%	0.90914	0.882
TCGA_38_4626_01A	11	0.921	7.597	69.064%	1.786	40.974%	0.51793	0.916
TCGA_38_4627_01A	3	0.611	4.944	164.8%	1.879	84.031%	1.93897	0.616
TCGA_38_4631_01A	34	0.976	15.578	45.818%	3.246	22.953%	0.35086	0.975
TCGA_38_7271_01A	4	0.909	4.155	103.875%	1.348	55.032%	0.74021	0.915
TCGA_44_2655_01A	10	0.58	11.982	119.82%	3.104	82.958%	1.22514	0.528
TCGA_44_2657_01A	9	0.955	6.288	69.867%	1.723	31.995%	0.72678	0.954
TCGA_44_2659_01A	28	0.881	20.259	72.354%	4.257	47.595%	0.56796	0.864
TCGA_44_3396_01A	11	0.755	11.379	103.445%	2.894	66.393%	0.92467	0.733
TCGA_44_3917_01A	4	0.98	3.087	77.175%	1.249	39.497%	0.48897	0.983
TCGA_44_3918_01A	38	0.97	15.106	39.753%	3.736	24.742%	0.28054	0.968
TCGA_44_4112_01A	21	0.883	14.493	69.014%	3.006	46.946%	0.53555	0.864
TCGA_44_5644_01A	41	0.955	21.473	52.373%	4.22	30.86%	0.36442	0.951
TCGA_44_6145_01A	11	0.951	8.678	78.891%	2.366	39.993%	0.62042	0.952
TCGA_44_6147_01A	7	0.784	6.426	91.8%	2.063	62.202%	0.92135	0.77
TCGA_44_6774_01A	10	0.914	8.209	82.09%	1.937	41.297%	0.78337	0.909
TCGA_44_6775_01A	4	0.537	5.529	138.225%	1.725	86.25%	2.05414	0.506
TCGA_44_6776_01A	13	0.836	9.543	73.408%	2.647	55.194%	0.95232	0.818
TCGA_44_6779_01A	5	0.881	4.04	80.8%	1.284	48.531%	0.85942	0.876
TCGA_44_7661_01A	11	0.937	8.267	75.155%	2.139	39.72%	0.6318	0.935
TCGA_44_7667_01A	19	0.889	13.78	72.526%	3.394	46.62%	0.76131	0.879
TCGA_44_7670_01A	46	0.963	22.447	48.798%	4.583	27.006%	0.34665	0.959
TCGA_44_7672_01A	15	0.857	13.558	90.387%	2.828	54.425%	0.70471	0.846
TCGA_44_8117_01A	23	0.945	14.751	64.135%	3.443	33.925%	0.55478	0.942
TCGA_44_A47G_01A	17	0.911	12.249	72.053%	2.64	41.23%	0.61862	0.902
TCGA_44_A4SU_01A	5	0.901	3.882	77.64%	1.437	43.327%	1.47928	0.898
TCGA_49_4487_01A	24	0.836	17.23	71.792%	5.079	56.088%	0.52634	0.821
TCGA_49_4488_01A	16	0.959	9.7	60.625%	2.205	30.578%	0.56451	0.958
TCGA_49_4490_01A	4	0.502	5.556	138.9%	1.76	88.0%	1.94522	0.466
TCGA_49_4505_01A	11	0.846	8.847	80.427%	2.091	53.989%	0.706	0.829
TCGA_49_4506_01A	9	0.708	8.902	98.911%	2.144	71.467%	0.97117	0.666
TCGA_49_4507_01A	8	0.784	8.429	105.362%	2.208	63.739%	0.98915	0.769
TCGA_49_6744_01A	9	0.74	9.216	102.4%	2.477	68.7%	1.34486	0.717
TCGA_49_6761_01A	5	0.68	6.622	132.44%	2.001	75.631%	1.33613	0.668
TCGA_49_6767_01A	17	0.931	10.372	61.012%	2.398	36.569%	0.47677	0.924
TCGA_50_5051_01A	9	0.728	9.058	100.644%	2.473	68.589%	1.03776	0.701
TCGA_50_5941_01A	26	0.866	20.283	78.012%	4.334	50.382%	0.67968	0.849
TCGA_50_5942_01A	5	0.715	6.065	121.3%	1.939	73.287%	1.34915	0.707
TCGA_50_6590_01A	33	0.866	22.033	66.767%	5.576	50.277%	0.45822	0.849
TCGA_50_6592_01A	15	0.833	14.172	94.48%	3.131	58.141%	0.71955	0.819
TCGA_50_6593_01A	14	0.769	12.96	92.571%	2.86	63.952%	1.32021	0.733
TCGA_50_6595_01A	4	0.681	4.913	122.825%	1.882	76.832%	1.21443	0.676
TCGA_53_7624_01A	24	0.933	14.643	61.012%	3.094	35.967%	0.49809	0.926
TCGA_53_7813_01A	9	0.752	8.68	96.444%	2.39	66.287%	0.98471	0.728
TCGA_55_6543_01A	2	0.663	2.429	121.45%	1.063	75.165%	2.04799	0.653
TCGA_55_6970_01A	5	0.883	3.424	68.48%	1.243	46.981%	0.70819	0.877
TCGA_55_6971_01A	6	0.874	5.331	88.85%	1.478	52.255%	0.84879	0.869
TCGA_55_6979_01A	7	0.746	7.309	104.414%	2.213	66.724%	1.13922	0.729
TCGA_55_6981_01A	4	0.763	3.816	95.4%	1.293	64.65%	1.53005	0.749
TCGA_55_6985_01A	15	0.903	10.009	66.727%	2.613	42.957%	0.71543	0.895
TCGA_55_7281_01A	17	0.95	9.619	56.582%	1.99	31.866%	0.45953	0.945
TCGA_55_7573_01A	6	0.835	5.372	89.533%	1.586	56.074%	1.10413	0.826
TCGA_55_7574_01A	9	0.837	8.473	94.144%	2.146	55.409%	1.26678	0.825
TCGA_55_7725_01A	12	0.909	10.222	85.183%	2.539	43.543%	0.76534	0.905
TCGA_55_7726_01A	4	0.811	4.234	105.85%	1.442	58.869%	1.57803	0.804
TCGA_55_7728_01A	2	0.305	3.577	178.85%	1.348	95.318%	2.54248	0.267
TCGA_55_7911_01A	12	0.919	9.453	78.775%	2.229	39.404%	0.92174	0.914
TCGA_55_7914_01A	5	0.662	6.321	126.42%	1.692	75.669%	1.22334	0.637
TCGA_55_7995_01A	19	0.887	14.661	77.163%	3.17	47.256%	0.67848	0.875
TCGA_55_8096_01A	7	0.834	6.4	91.429%	1.693	56.433%	0.91449	0.823
TCGA_55_8097_01A	6	0.748	6.856	114.267%	1.941	68.625%	1.28694	0.732
TCGA_55_8203_01A	15	0.927	9.95	66.333%	2.321	39.232%	0.55109	0.921
TCGA_55_8208_01A	12	0.89	11.03	91.917%	3.051	50.85%	0.77855	0.888
TCGA_55_8299_01A	6	0.897	4.551	75.85%	1.533	44.254%	1.42139	0.893
TCGA_55_8506_01A	160	0.952	48.845	30.528%	14.145	30.765%	0.082	0.943
TCGA_55_8510_01A	18	0.922	14.089	78.272%	3.041	40.637%	0.60234	0.917
TCGA_55_8511_01A	22	0.83	17.601	80.005%	4.63	56.147%	0.72214	0.812
TCGA_55_8616_01A	283	0.999	25.427	8.985%	6.914	3.855%	0.02312	0.999
TCGA_55_A48X_01A	19	0.951	11.87	62.474%	2.747	30.906%	0.67336	0.948
TCGA_55_A48Z_01A	1	0.912	1.236	123.6%	0.642	64.2%	0.96268	0.921
TCGA_55_A492_01A	75	0.991	28.237	37.649%	6.045	14.726%	0.24807	0.99
TCGA_55_A493_01A	97	0.997	19.897	20.512%	5.152	8.548%	0.16185	0.997
TCGA_55_A494_01A	9	0.706	9.067	100.744%	2.35	70.855%	0.96368	0.671
TCGA_62_A46O_01A	115	0.993	34.688	30.163%	7.208	13.557%	0.15424	0.992
TCGA_62_A46R_01A	11	0.73	11.117	101.064%	2.817	68.322%	0.94431	0.7
TCGA_64_1679_01A	21	0.904	16.557	78.843%	4.575	47.441%	0.78434	0.899
TCGA_64_1681_01A	5	0.306	8.302	166.04%	2.2	98.387%	2.23316	0.227
TCGA_64_5781_01A	43	0.98	16.029	37.277%	3.218	20.073%	0.25804	0.978
TCGA_67_3770_01A	9	0.865	7.729	85.878%	2.143	51.975%	1.3614	0.857
TCGA_67_3774_01A	7	0.53	9.011	128.729%	2.547	84.9%	1.45819	0.481
TCGA_67_6217_01A	8	0.788	7.86	98.25%	1.949	61.633%	1.09825	0.767
TCGA_69_7973_01A	16	0.832	13.4	83.75%	2.86	56.089%	0.78042	0.807
TCGA_69_7974_01A	19	0.825	18.414	96.916%	3.95	63.251%	1.12056	0.806
TCGA_69_7979_01A	43	0.949	23.751	55.235%	4.684	32.246%	0.49512	0.943
TCGA_69_7980_01A	29	0.937	16.824	58.014%	3.777	34.918%	0.66563	0.931
TCGA_73_4662_01A	12	0.917	9.24	77.0%	2.242	42.37%	0.90143	0.912
TCGA_73_4666_01A	16	0.961	8.339	52.119%	1.926	27.799%	0.47666	0.958
TCGA_73_4670_01A	29	0.913	18.783	64.769%	3.711	41.233%	0.57289	0.9
TCGA_73_7498_01A	6	0.732	6.625	110.417%	1.694	69.157%	1.09871	0.71
TCGA_78_7145_01A	6	0.655	7.936	132.267%	2.764	79.79%	1.22489	0.655
TCGA_78_7146_01A	14	0.923	8.705	62.179%	2.08	39.308%	0.46515	0.917
TCGA_78_7147_01A	21	0.954	12.988	61.848%	2.815	30.899%	0.48054	0.951
TCGA_78_7153_01A	8	0.965	5.846	73.075%	1.894	40.38%	0.48418	0.969
