MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	1.86E-07	1.54E-08	2.13E-07	3.21E-07	1.79E-07	2.66E-07
1:Del:C:1	1.48E-02	5.62E-04	1.58E-02	1.13E-02	1.48E-03	1.11E-02
1:Del:C:2	9.12E-03	5.80E-04	1.58E-02	5.08E-03	4.67E-03	4.37E-03
1:Del:C:3	4.59E-03	6.13E-09	9.75E-03	1.10E-02	3.14E-03	6.46E-03
1:Del:C:4	4.23E-03	3.18E-04	6.56E-03	1.02E-02	8.67E-03	6.67E-03
1:Del:C:5	1.12E-03	1.88E-08	2.30E-03	3.12E-03	4.57E-03	2.44E-04
1:Del:T:0	1.86E-07	1.54E-08	2.13E-07	3.21E-07	1.79E-07	2.66E-07
1:Del:T:1	4.58E-03	5.54E-04	4.47E-03	1.50E-02	2.04E-03	1.06E-02
1:Del:T:2	2.05E-03	6.50E-09	2.51E-03	5.19E-03	1.20E-03	4.16E-03
1:Del:T:3	1.55E-03	1.02E-08	2.54E-03	3.99E-03	3.47E-03	2.59E-03
1:Del:T:4	1.99E-03	1.61E-04	1.90E-03	3.77E-03	2.32E-03	2.81E-03
1:Del:T:5	2.54E-04	2.33E-04	9.83E-04	6.89E-04	2.49E-03	2.19E-04
1:Ins:C:0	3.98E-04	9.43E-04	1.40E-03	2.18E-03	2.61E-04	1.47E-03
1:Ins:C:1	1.37E-03	4.43E-04	1.12E-03	2.09E-03	1.02E-03	2.22E-03
1:Ins:C:2	1.30E-03	6.64E-05	1.95E-03	1.98E-03	1.30E-03	1.16E-03
1:Ins:C:3	9.22E-04	9.61E-09	1.52E-03	2.07E-03	9.60E-04	1.25E-03
1:Ins:C:4	1.15E-03	2.37E-04	9.28E-04	1.45E-03	1.74E-03	6.46E-04
1:Ins:C:5	1.29E-03	6.22E-05	2.14E-03	3.86E-03	3.68E-03	1.80E-03
