Samples	SBS96A	SBS96B
TCGA_38_4625_01A	506	166
TCGA_38_4626_01A	245	24
TCGA_38_4627_01A	17	11
TCGA_38_4631_01A	802	47
TCGA_38_7271_01A	31	33
TCGA_44_2655_01A	166	16
TCGA_44_2657_01A	396	69
TCGA_44_2659_01A	432	31
TCGA_44_3396_01A	73	146
TCGA_44_3917_01A	204	50
TCGA_44_3918_01A	957	130
TCGA_44_4112_01A	372	136
TCGA_44_5644_01A	937	107
TCGA_44_6145_01A	330	16
TCGA_44_6147_01A	122	8
TCGA_44_6774_01A	316	10
TCGA_44_6775_01A	46	26
TCGA_44_6776_01A	193	22
TCGA_44_6779_01A	85	22
TCGA_44_7661_01A	200	89
TCGA_44_7667_01A	479	60
TCGA_44_7670_01A	995	236
TCGA_44_7672_01A	168	20
TCGA_44_8117_01A	812	55
TCGA_44_A47G_01A	43	41
TCGA_44_A4SU_01A	149	22
TCGA_49_4487_01A	294	94
TCGA_49_4488_01A	274	42
TCGA_49_4490_01A	12	42
TCGA_49_4505_01A	197	48
TCGA_49_4506_01A	103	18
TCGA_49_4507_01A	139	91
TCGA_49_6744_01A	223	17
TCGA_49_6761_01A	87	118
TCGA_49_6767_01A	464	72
TCGA_50_5051_01A	104	16
TCGA_50_5941_01A	368	52
TCGA_50_5942_01A	55	10
TCGA_50_6590_01A	693	288
TCGA_50_6592_01A	206	119
TCGA_50_6593_01A	311	37
TCGA_50_6595_01A	40	53
TCGA_53_7624_01A	635	268
TCGA_53_7813_01A	166	11
TCGA_55_6543_01A	13	8
TCGA_55_6970_01A	157	31
TCGA_55_6971_01A	73	19
TCGA_55_6979_01A	66	59
TCGA_55_6981_01A	28	27
TCGA_55_6985_01A	479	30
TCGA_55_7281_01A	413	84
TCGA_55_7573_01A	41	16
TCGA_55_7574_01A	102	182
TCGA_55_7725_01A	144	13
TCGA_55_7726_01A	11	111
TCGA_55_7728_01A	100	8
TCGA_55_7911_01A	213	48
TCGA_55_7914_01A	145	59
TCGA_55_7995_01A	577	177
TCGA_55_8096_01A	143	24
TCGA_55_8097_01A	88	34
TCGA_55_8203_01A	458	22
TCGA_55_8208_01A	106	281
TCGA_55_8299_01A	207	28
TCGA_55_8506_01A	1705	192
TCGA_55_8510_01A	309	50
TCGA_55_8511_01A	512	129
TCGA_55_8616_01A	578	50
TCGA_55_A48X_01A	411	47
TCGA_55_A48Z_01A	44	20
TCGA_55_A492_01A	294	38
TCGA_55_A493_01A	219	127
TCGA_55_A494_01A	243	29
TCGA_62_A46O_01A	780	259
TCGA_62_A46R_01A	126	63
TCGA_64_1679_01A	498	68
TCGA_64_1681_01A	33	51
TCGA_64_5781_01A	1001	232
TCGA_67_3770_01A	222	19
TCGA_67_3774_01A	102	20
TCGA_67_6217_01A	190	22
TCGA_69_7973_01A	258	20
TCGA_69_7974_01A	508	64
TCGA_69_7979_01A	1552	125
TCGA_69_7980_01A	662	279
TCGA_73_4662_01A	198	34
TCGA_73_4666_01A	356	54
TCGA_73_4670_01A	334	57
TCGA_73_7498_01A	115	15
TCGA_78_7145_01A	190	29
TCGA_78_7146_01A	253	167
TCGA_78_7147_01A	268	119
TCGA_78_7153_01A	60	66
TCGA_78_7158_01A	197	69
TCGA_78_7159_01A	299	31
TCGA_78_7161_01A	183	26
TCGA_78_7220_01A	721	241
TCGA_83_5908_01A	133	139
TCGA_86_6851_01A	777	188
TCGA_86_7954_01A	145	98
TCGA_86_8056_01A	74	223
TCGA_86_8074_01A	47	25
TCGA_91_6830_01A	6	246
TCGA_91_6836_01A	441	58
TCGA_91_6840_01A	15	129
TCGA_91_6847_01A	44	48
TCGA_95_7039_01A	1255	137
TCGA_95_7043_01A	1049	106
TCGA_95_7948_01A	0	162
TCGA_95_A4VK_01A	285	24
TCGA_95_A4VN_01A	500	71
TCGA_95_A4VP_01A	137	11
TCGA_97_7547_01A	120	78
TCGA_97_7553_01A	34	13
TCGA_97_7941_01A	70	27
TCGA_97_8175_01A	20	10
TCGA_97_A4M0_01A	340	126
TCGA_97_A4M1_01A	19	28
TCGA_97_A4M3_01A	190	51
TCGA_99_7458_01A	482	34
TCGA_J2_8194_01A	130	36
TCGA_J2_A4AD_01A	127	254
TCGA_J2_A4AG_01A	75	21
TCGA_L4_A4E5_01A	367	29
TCGA_L9_A443_01A	255	37
TCGA_L9_A444_01A	608	35
TCGA_MP_A4T4_01A	385	58
TCGA_MP_A4T9_01A	25	17
TCGA_MP_A4TF_01A	444	53
TCGA_MP_A4TH_01A	113	18
TCGA_NJ_A4YQ_01A	1246	52
TCGA_NJ_A55O_01A	149	14
TCGA_O1_A52J_01A	177	22
