MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Del:R:1	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
5:Del:R:2	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
5:Del:R:3	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
5:Del:R:4	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
5:Del:R:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
2:Ins:R:0	1.54E-03	1.36E-03	1.49E-03	5.31E-08	4.62E-03	5.00E-03	8.03E-03	2.48E-03	5.99E-03
2:Ins:R:1	1.82E-04	5.34E-04	5.15E-04	7.84E-04	1.09E-03	2.49E-03	1.44E-03	8.77E-04	1.65E-03
2:Ins:R:2	1.54E-08	7.53E-05	1.82E-04	1.56E-04	3.60E-04	4.02E-04	3.84E-04	1.99E-04	2.73E-04
2:Ins:R:3	1.40E-08	7.19E-05	1.81E-04	2.38E-07	1.51E-04	1.36E-04	2.33E-04	2.54E-04	5.67E-04
2:Ins:R:4	1.42E-08	2.32E-07	2.39E-07	3.97E-04	8.10E-05	4.03E-07	8.42E-05	6.23E-05	4.62E-05
2:Ins:R:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
3:Ins:R:0	1.44E-03	4.54E-05	6.18E-04	2.86E-07	3.11E-03	1.68E-03	1.54E-03	2.25E-04	1.75E-03
3:Ins:R:1	7.81E-09	3.33E-04	3.63E-04	2.10E-04	8.09E-04	7.71E-04	7.99E-04	5.70E-04	7.40E-04
3:Ins:R:2	5.44E-05	1.42E-04	9.92E-05	1.40E-07	3.30E-04	1.80E-04	7.91E-05	1.52E-04	5.07E-04
3:Ins:R:3	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
3:Ins:R:4	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
3:Ins:R:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
4:Ins:R:0	1.44E-03	2.51E-07	3.72E-04	1.18E-07	1.58E-03	1.49E-03	4.87E-04	3.61E-04	1.97E-03
4:Ins:R:1	1.08E-04	3.53E-05	2.43E-04	2.79E-04	5.20E-04	4.82E-04	7.14E-04	7.10E-04	4.72E-04
4:Ins:R:2	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
4:Ins:R:3	1.41E-08	9.86E-05	1.37E-04	9.53E-05	4.29E-04	2.39E-04	3.50E-04	3.33E-04	2.53E-04
4:Ins:R:4	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
4:Ins:R:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
5:Ins:R:0	3.31E-03	1.86E-07	7.13E-03	3.03E-08	6.27E-07	7.68E-03	6.26E-03	4.69E-07	8.52E-03
5:Ins:R:1	1.03E-08	2.20E-03	3.12E-03	9.40E-04	7.58E-03	4.89E-03	5.43E-03	4.61E-03	7.36E-03
5:Ins:R:2	1.38E-08	8.65E-05	3.85E-04	2.11E-04	4.04E-04	2.24E-04	4.88E-04	2.98E-04	3.78E-04
5:Ins:R:3	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
