MutationType	ID83A
1:Del:C:0	5.33E-12
1:Del:C:1	4.77E-03
1:Del:C:2	7.79E-03
1:Del:C:3	5.33E-12
1:Del:C:4	5.47E-03
1:Del:C:5	3.33E-03
1:Del:T:0	5.33E-12
1:Del:T:1	5.33E-12
1:Del:T:2	3.92E-03
1:Del:T:3	3.57E-03
1:Del:T:4	5.33E-12
1:Del:T:5	5.33E-12
1:Ins:C:0	3.71E-03
1:Ins:C:1	5.33E-12
1:Ins:C:2	2.47E-03
1:Ins:C:3	5.33E-12
1:Ins:C:4	5.33E-12
1:Ins:C:5	5.33E-12
1:Ins:T:0	3.06E-03
1:Ins:T:1	3.49E-03
1:Ins:T:2	3.33E-03
1:Ins:T:3	5.33E-12
1:Ins:T:4	5.33E-12
1:Ins:T:5	5.33E-12
2:Del:R:0	3.75E-03
2:Del:R:1	5.33E-12
2:Del:R:2	5.33E-12
2:Del:R:3	5.33E-12
2:Del:R:4	5.33E-12
2:Del:R:5	5.33E-12
3:Del:R:0	5.33E-12
3:Del:R:1	5.33E-12
3:Del:R:2	5.33E-12
3:Del:R:3	5.33E-12
3:Del:R:4	5.33E-12
3:Del:R:5	5.33E-12
4:Del:R:0	5.33E-12
4:Del:R:1	5.33E-12
4:Del:R:2	5.33E-12
4:Del:R:3	5.33E-12
4:Del:R:4	5.33E-12
4:Del:R:5	5.33E-12
5:Del:R:0	6.20E-03
5:Del:R:1	5.33E-12
5:Del:R:2	5.33E-12
5:Del:R:3	5.33E-12
5:Del:R:4	5.33E-12
5:Del:R:5	5.33E-12
2:Ins:R:0	5.33E-12
2:Ins:R:1	5.33E-12
2:Ins:R:2	5.33E-12
2:Ins:R:3	5.33E-12
2:Ins:R:4	5.33E-12
2:Ins:R:5	5.33E-12
3:Ins:R:0	5.33E-12
3:Ins:R:1	5.33E-12
3:Ins:R:2	5.33E-12
3:Ins:R:3	5.33E-12
3:Ins:R:4	5.33E-12
3:Ins:R:5	5.33E-12
4:Ins:R:0	5.33E-12
4:Ins:R:1	5.33E-12
4:Ins:R:2	5.33E-12
4:Ins:R:3	5.33E-12
4:Ins:R:4	5.33E-12
4:Ins:R:5	5.33E-12
5:Ins:R:0	5.33E-12
5:Ins:R:1	3.07E-03
5:Ins:R:2	5.33E-12
5:Ins:R:3	5.33E-12
5:Ins:R:4	5.33E-12
5:Ins:R:5	5.33E-12
2:Del:M:1	5.33E-12
3:Del:M:1	5.33E-12
3:Del:M:2	5.33E-12
4:Del:M:1	5.33E-12
4:Del:M:2	5.33E-12
4:Del:M:3	5.33E-12
5:Del:M:1	2.46E-03
5:Del:M:2	5.33E-12
5:Del:M:3	3.46E-03
5:Del:M:4	5.33E-12
5:Del:M:5	5.33E-12
