Samples	SBS96A	SBS96B
TCGA_91_6830_01A	8.54E-01	8.54E-01
TCGA_91_6836_01A	1.05E+00	1.05E+00
TCGA_91_6840_01A	8.06E-01	8.06E-01
TCGA_91_6847_01A	1.08E+00	1.08E+00
TCGA_95_7039_01A	2.22E+00	2.22E+00
TCGA_95_7043_01A	1.61E+00	1.61E+00
TCGA_95_7948_01A	0.00E+00	0.00E+00
TCGA_95_A4VK_01A	1.12E+00	1.12E+00
TCGA_95_A4VN_01A	1.25E+00	1.25E+00
TCGA_95_A4VP_01A	5.62E-01	5.62E-01
TCGA_97_7547_01A	1.11E+00	1.10E+00
TCGA_97_7553_01A	8.06E-01	8.05E-01
TCGA_97_7941_01A	6.07E-01	6.07E-01
TCGA_97_8175_01A	4.16E-01	4.18E-01
TCGA_97_A4M0_01A	1.30E+00	1.30E+00
TCGA_97_A4M1_01A	6.79E-01	6.77E-01
TCGA_97_A4M3_01A	1.09E+00	1.09E+00
TCGA_99_7458_01A	1.08E+00	1.08E+00
TCGA_J2_8194_01A	1.22E+00	1.22E+00
TCGA_J2_A4AD_01A	1.68E+00	1.68E+00
TCGA_J2_A4AG_01A	7.93E-01	7.93E-01
TCGA_L4_A4E5_01A	1.06E+00	1.06E+00
TCGA_L9_A443_01A	9.27E-01	9.27E-01
TCGA_L9_A444_01A	1.20E+00	1.20E+00
TCGA_MP_A4T4_01A	1.13E+00	1.13E+00
TCGA_MP_A4T9_01A	5.61E-01	5.61E-01
TCGA_MP_A4TF_01A	1.25E+00	1.25E+00
TCGA_MP_A4TH_01A	9.82E-01	9.81E-01
TCGA_NJ_A4YQ_01A	1.50E+00	1.50E+00
TCGA_NJ_A55O_01A	5.76E-01	5.76E-01
TCGA_O1_A52J_01A	8.04E-01	8.04E-01
