MutationType	ID83A	ID83B
1:Del:C:0	1.60E-07	1.82E-07
1:Del:C:1	7.71E-03	8.36E-03
1:Del:C:2	5.45E-03	5.04E-03
1:Del:C:3	3.70E-03	4.70E-03
1:Del:C:4	1.89E-03	2.25E-03
1:Del:C:5	1.57E-03	2.08E-03
1:Del:T:0	1.60E-07	1.82E-07
1:Del:T:1	3.83E-03	3.68E-03
1:Del:T:2	1.90E-03	2.09E-03
1:Del:T:3	3.23E-04	7.30E-04
1:Del:T:4	1.60E-07	1.82E-07
1:Del:T:5	9.01E-04	8.70E-04
1:Ins:C:0	8.19E-04	8.83E-04
1:Ins:C:1	9.91E-04	8.47E-04
1:Ins:C:2	4.90E-04	7.82E-04
1:Ins:C:3	8.86E-04	1.26E-03
1:Ins:C:4	1.05E-03	1.12E-03
1:Ins:C:5	6.85E-04	4.48E-04
1:Ins:T:0	1.83E-03	2.70E-03
1:Ins:T:1	3.73E-03	3.27E-03
1:Ins:T:2	2.48E-03	2.52E-03
1:Ins:T:3	7.66E-04	8.10E-04
1:Ins:T:4	8.01E-04	9.43E-04
1:Ins:T:5	1.65E-03	2.07E-03
2:Del:R:0	2.58E-03	2.43E-03
2:Del:R:1	6.24E-04	7.86E-04
2:Del:R:2	1.60E-07	1.82E-07
2:Del:R:3	1.60E-07	1.82E-07
2:Del:R:4	1.60E-07	1.82E-07
2:Del:R:5	1.60E-07	1.82E-07
3:Del:R:0	1.00E-03	1.00E-03
3:Del:R:1	4.69E-04	6.23E-04
3:Del:R:2	1.60E-07	1.82E-07
3:Del:R:3	1.60E-07	1.82E-07
3:Del:R:4	1.60E-07	1.82E-07
3:Del:R:5	1.60E-07	1.82E-07
4:Del:R:0	1.41E-03	1.22E-03
4:Del:R:1	1.60E-07	1.82E-07
4:Del:R:2	1.60E-07	1.82E-07
4:Del:R:3	1.60E-07	1.82E-07
4:Del:R:4	1.60E-07	1.82E-07
4:Del:R:5	1.60E-07	1.82E-07
5:Del:R:0	4.86E-03	7.09E-03
5:Del:R:1	6.08E-04	6.07E-04
5:Del:R:2	1.60E-07	1.82E-07
5:Del:R:3	1.60E-07	1.82E-07
5:Del:R:4	1.60E-07	1.82E-07
5:Del:R:5	1.60E-07	1.82E-07
2:Ins:R:0	6.81E-04	8.69E-04
2:Ins:R:1	1.60E-07	1.82E-07
2:Ins:R:2	1.60E-07	1.82E-07
2:Ins:R:3	1.60E-07	1.82E-07
2:Ins:R:4	1.60E-07	1.82E-07
2:Ins:R:5	1.60E-07	1.82E-07
3:Ins:R:0	1.02E-03	1.37E-03
3:Ins:R:1	8.47E-04	1.05E-03
3:Ins:R:2	1.60E-07	1.82E-07
3:Ins:R:3	1.60E-07	1.82E-07
3:Ins:R:4	1.60E-07	1.82E-07
3:Ins:R:5	1.60E-07	1.82E-07
4:Ins:R:0	3.86E-04	8.15E-04
4:Ins:R:1	6.88E-04	7.04E-04
4:Ins:R:2	1.60E-07	1.82E-07
4:Ins:R:3	1.60E-07	1.82E-07
4:Ins:R:4	1.60E-07	1.82E-07
4:Ins:R:5	1.60E-07	1.82E-07
5:Ins:R:0	3.10E-03	2.51E-03
5:Ins:R:1	9.48E-04	1.79E-03
5:Ins:R:2	1.60E-07	1.82E-07
5:Ins:R:3	1.60E-07	1.82E-07
5:Ins:R:4	1.60E-07	1.82E-07
5:Ins:R:5	1.60E-07	1.82E-07
2:Del:M:1	3.31E-03	3.74E-03
3:Del:M:1	4.76E-04	7.75E-04
3:Del:M:2	5.51E-04	5.97E-04
4:Del:M:1	1.60E-07	1.82E-07
4:Del:M:2	1.60E-07	1.82E-07
4:Del:M:3	4.07E-04	6.78E-04
5:Del:M:1	2.21E-03	2.81E-03
5:Del:M:2	9.46E-04	9.20E-04
5:Del:M:3	1.37E-03	1.77E-03
5:Del:M:4	4.93E-04	5.51E-04
5:Del:M:5	1.60E-07	1.82E-07
