Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,7.29e-04,58.34%,166.95%,198.5%,98.96%,126.9,2.1528,4.8767,0.645,0.977,0.314,-0.014
2*,0.9,0.84,YES,Most Stab Sigs,24.21%,148.93%,197.6%,84.4%,104.88,1.7449,4.4286,0.469,0.959,0.502,-0.0
3,0.64,0.26,NO,N/A,18.29%,127.75%,197.8%,76.79%,102.0,1.5509,4.516,0.378,0.956,0.6,-0.005
4,0.53,0.19,NO,N/A,17.02%,115.75%,197.5%,72.34%,102.4,1.4297,4.3784,0.325,0.954,0.659,0.002
5,0.45,0.11,NO,N/A,16.53%,108.92%,197.0%,70.71%,101.6,1.3625,4.2128,0.293,0.941,0.694,0.012
6,0.45,-0.04,NO,N/A,16.14%,108.98%,196.9%,70.3%,101.9,1.2848,4.173,0.269,0.942,0.718,0.014
7,0.42,-0.03,NO,N/A,15.48%,101.36%,195.3%,62.9%,102.9,1.1696,3.742,0.237,0.927,0.753,0.038
8,0.38,-0.01,NO,N/A,15.65%,100.59%,196.1%,62.86%,101.9,1.0991,3.9319,0.225,0.93,0.766,0.03
9,0.38,0.0,NO,N/A,15.23%,96.33%,193.3%,58.8%,100.0,0.968,3.3939,0.193,0.87,0.8,0.092
10,0.37,-0.52,NO,N/A,17.54%,90.32%,191.5%,57.82%,101.7,0.9598,3.1558,0.204,0.877,0.788,0.094
