MutationType	TCGA_05_4402_01A	TCGA_05_5715_01A	TCGA_38_4628_01A	TCGA_38_6178_01A	TCGA_44_2661_01A	TCGA_44_2665_01A	TCGA_44_3919_01A	TCGA_49_4501_01A	TCGA_49_4512_01A	TCGA_49_AAQV_01A	TCGA_50_6591_01A	TCGA_55_6986_01A	TCGA_55_7816_01A	TCGA_55_8087_01A	TCGA_55_8619_01A	TCGA_62_8394_01A	TCGA_62_8397_01A	TCGA_62_8402_01A	TCGA_62_A46U_01A	TCGA_62_A46Y_01A	TCGA_67_6215_01A	TCGA_67_6216_01A	TCGA_71_8520_01A	TCGA_78_7540_01A	TCGA_86_7953_01A	TCGA_86_8075_01A	TCGA_86_8278_01A	TCGA_86_8280_01A	TCGA_86_8668_01A	TCGA_86_8671_01A	TCGA_86_A4P7_01A	TCGA_91_8496_01A	TCGA_97_8177_01A	TCGA_97_8552_01A	TCGA_97_A4M6_01A	TCGA_99_8033_01A	TCGA_J2_8192_01A
1:Del:C:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:C:1	3	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0
1:Del:C:2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
1:Del:C:3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:C:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1:Del:C:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1:Del:T:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:T:1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0
1:Del:T:2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1:Del:T:3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
