Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	672	0.961	213.889	31.829%	34.18	28.861%	0.09484	0.944
TCGA_38_4626_01A	269	0.924	118.965	44.225%	17.876	38.173%	0.22741	0.882
TCGA_38_4627_01A	28	0.658	33.748	120.529%	5.543	75.431%	1.10412	0.579
TCGA_38_4631_01A	849	0.976	204.132	24.044%	29.734	22.253%	0.06534	0.959
TCGA_38_7271_01A	64	0.855	50.902	79.534%	7.485	52.405%	0.56669	0.816
TCGA_44_2655_01A	182	0.925	88.117	48.416%	12.778	38.182%	0.25895	0.892
TCGA_44_2657_01A	465	0.965	144.815	31.143%	20.299	26.725%	0.11098	0.945
TCGA_44_2659_01A	463	0.966	148.073	31.981%	20.724	26.467%	0.12942	0.948
TCGA_44_3396_01A	219	0.933	97.536	44.537%	15.5	36.047%	0.21896	0.908
TCGA_44_3917_01A	254	0.896	123.942	48.796%	18.189	44.403%	0.23165	0.819
TCGA_44_3918_01A	1087	0.976	282.321	25.972%	42.589	22.792%	0.06276	0.965
TCGA_44_4112_01A	508	0.959	159.502	31.398%	22.953	28.305%	0.10429	0.93
TCGA_44_5644_01A	1044	0.979	229.083	21.943%	32.218	20.174%	0.05465	0.963
TCGA_44_6145_01A	346	0.916	163.878	47.364%	25.632	40.417%	0.20531	0.878
TCGA_44_6147_01A	130	0.876	76.897	59.152%	11.056	48.484%	0.40605	0.808
TCGA_44_6774_01A	326	0.942	117.223	35.958%	18.522	33.56%	0.13514	0.908
TCGA_44_6775_01A	72	0.716	58.337	81.024%	8.42	71.162%	0.62507	0.493
TCGA_44_6776_01A	215	0.909	107.043	49.787%	15.406	41.791%	0.21898	0.856
TCGA_44_6779_01A	107	0.839	77.728	72.643%	10.383	54.647%	0.48352	0.749
TCGA_44_7661_01A	289	0.921	112.768	39.02%	17.228	39.185%	0.15862	0.853
TCGA_44_7667_01A	539	0.946	174.641	32.401%	26.023	32.872%	0.11644	0.894
TCGA_44_7670_01A	1231	0.977	291.113	23.648%	43.026	21.537%	0.05481	0.963
TCGA_44_7672_01A	188	0.9	88.258	46.946%	13.074	43.824%	0.25353	0.824
TCGA_44_8117_01A	867	0.988	163.706	18.882%	22.848	16.104%	0.04092	0.981
TCGA_44_A47G_01A	84	0.785	63.806	75.96%	8.65	63.425%	0.52636	0.626
TCGA_44_A4SU_01A	171	0.88	84.268	49.28%	12.655	47.594%	0.28354	0.778
TCGA_49_4487_01A	388	0.944	143.844	37.073%	19.531	33.417%	0.15513	0.896
TCGA_49_4488_01A	316	0.96	101.414	32.093%	14.57	28.113%	0.12799	0.934
TCGA_49_4490_01A	54	0.839	43.509	80.572%	6.305	54.467%	0.62126	0.787
TCGA_49_4505_01A	245	0.919	111.909	45.677%	15.564	39.674%	0.20023	0.862
