MutationType	ID83A	ID83B
1:Del:C:0	9.53E-09	3.13E-08
1:Del:C:1	9.25E-04	6.06E-04
1:Del:C:2	8.16E-04	6.45E-04
1:Del:C:3	5.05E-04	1.43E-08
1:Del:C:4	5.01E-04	4.87E-04
1:Del:C:5	3.07E-04	3.71E-05
1:Del:T:0	9.53E-09	3.13E-08
1:Del:T:1	5.21E-04	5.55E-04
1:Del:T:2	3.12E-04	6.99E-05
1:Del:T:3	2.70E-04	5.77E-09
1:Del:T:4	2.57E-04	1.68E-04
1:Del:T:5	2.33E-04	2.09E-04
1:Ins:C:0	2.48E-04	1.06E-03
1:Ins:C:1	2.55E-04	5.37E-04
1:Ins:C:2	2.02E-04	2.42E-04
1:Ins:C:3	1.94E-04	5.62E-09
1:Ins:C:4	1.94E-04	2.89E-04
1:Ins:C:5	3.07E-04	9.13E-05
1:Ins:T:0	3.35E-04	9.25E-04
1:Ins:T:1	5.35E-04	6.41E-04
1:Ins:T:2	4.19E-04	3.34E-04
1:Ins:T:3	2.08E-04	2.89E-04
1:Ins:T:4	1.64E-04	1.24E-04
1:Ins:T:5	3.06E-04	1.79E-08
2:Del:R:0	2.22E-04	3.61E-04
2:Del:R:1	1.83E-04	5.79E-09
2:Del:R:2	9.53E-09	3.13E-08
2:Del:R:3	4.77E-05	4.06E-08
2:Del:R:4	9.53E-09	3.13E-08
2:Del:R:5	9.53E-09	3.13E-08
3:Del:R:0	2.09E-04	2.43E-04
3:Del:R:1	7.60E-05	5.79E-05
3:Del:R:2	9.53E-09	3.13E-08
3:Del:R:3	9.53E-09	3.13E-08
3:Del:R:4	9.53E-09	3.13E-08
3:Del:R:5	9.53E-09	3.13E-08
4:Del:R:0	2.81E-04	8.08E-04
4:Del:R:1	7.49E-05	1.07E-04
4:Del:R:2	9.53E-09	3.13E-08
4:Del:R:3	9.53E-09	3.13E-08
4:Del:R:4	9.53E-09	3.13E-08
4:Del:R:5	9.53E-09	3.13E-08
5:Del:R:0	5.76E-04	7.84E-04
5:Del:R:1	9.53E-09	3.13E-08
5:Del:R:2	9.53E-09	3.13E-08
5:Del:R:3	9.53E-09	3.13E-08
5:Del:R:4	9.53E-09	3.13E-08
5:Del:R:5	9.53E-09	3.13E-08
2:Ins:R:0	2.90E-04	1.31E-03
2:Ins:R:1	1.26E-04	1.76E-04
2:Ins:R:2	5.73E-05	3.04E-05
2:Ins:R:3	5.23E-05	4.20E-08
2:Ins:R:4	4.85E-05	3.64E-08
2:Ins:R:5	9.53E-09	3.13E-08
3:Ins:R:0	5.35E-07	9.87E-04
3:Ins:R:1	9.17E-05	2.33E-08
3:Ins:R:2	4.18E-05	1.28E-04
3:Ins:R:3	9.53E-09	3.13E-08
3:Ins:R:4	9.53E-09	3.13E-08
3:Ins:R:5	9.53E-09	3.13E-08
4:Ins:R:0	3.30E-08	9.43E-04
4:Ins:R:1	3.56E-05	2.18E-04
4:Ins:R:2	9.53E-09	3.13E-08
4:Ins:R:3	5.10E-05	4.60E-05
4:Ins:R:4	9.53E-09	3.13E-08
4:Ins:R:5	9.53E-09	3.13E-08
5:Ins:R:0	1.91E-09	2.57E-03
5:Ins:R:1	2.48E-04	6.77E-09
5:Ins:R:2	5.31E-05	4.52E-05
5:Ins:R:3	9.53E-09	3.13E-08
5:Ins:R:4	9.53E-09	3.13E-08
5:Ins:R:5	9.53E-09	3.13E-08
2:Del:M:1	3.16E-04	6.21E-04
3:Del:M:1	1.30E-04	3.24E-04
3:Del:M:2	9.86E-05	2.75E-04
4:Del:M:1	1.69E-04	3.10E-04
4:Del:M:2	8.43E-05	1.08E-04
4:Del:M:3	3.84E-05	4.77E-05
5:Del:M:1	3.93E-04	3.99E-04
5:Del:M:2	2.14E-04	3.89E-04
5:Del:M:3	1.53E-04	1.45E-04
5:Del:M:4	4.90E-05	4.53E-05
5:Del:M:5	9.53E-09	3.13E-08
