Samples	DBS78A	DBS78B	DBS78C	DBS78D
TCGA_44_A479_01A	3.99E-01	2.98E-01	3.36E-01	6.57E-02
TCGA_49_AARE_01A	4.91E-01	5.95E-01	2.23E-02	3.52E-01
TCGA_49_AARN_01A	2.00E-01	3.29E-01	1.64E-01	2.48E-01
TCGA_49_AARO_01A	6.15E-01	4.59E-01	5.56E-01	1.69E-01
TCGA_49_AARQ_01A	4.93E-01	5.17E-01	3.61E-01	3.90E-01
TCGA_4B_A93V_01A	1.37E-01	8.55E-02	1.35E-01	6.40E-02
TCGA_55_7913_01B	2.31E-01	1.92E-01	1.70E-01	8.80E-02
TCGA_55_8508_01A	2.70E-01	2.96E-01	2.18E-01	1.99E-01
TCGA_55_8514_01A	6.37E-02	8.25E-02	1.06E-01	1.43E-01
TCGA_69_A59K_01A	3.59E-01	1.94E-01	3.81E-01	9.98E-02
TCGA_86_7714_01A	4.56E-02	4.41E-02	1.71E-02	0.00E+00
TCGA_99_8025_01A	2.84E-01	2.40E-01	2.93E-01	1.56E-01
TCGA_99_8028_01A	2.96E-01	2.46E-01	2.13E-01	8.78E-02
TCGA_99_AA5R_01A	9.13E-02	5.51E-02	9.27E-02	7.39E-02
TCGA_L9_A5IP_01A	1.33E-01	1.77E-01	1.04E-01	1.30E-01
TCGA_L9_A8F4_01A	5.38E-01	1.32E-01	5.33E-01	1.51E-01
TCGA_NJ_A4YF_01A	2.78E-01	2.49E-01	3.34E-01	3.02E-01
TCGA_S2_AA1A_01A	2.15E-01	1.30E-01	2.14E-01	9.75E-02
