MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	8.910190948881792e-05	5.955708190179712e-05	4.4200066956001646e-05	0.0006577503903827164	9.410249531356385e-05	0.00021980622285847851
AC>CG	8.910190948881792e-05	5.955708190179712e-05	4.4200041312016935e-05	0.0006577504227607278	9.410249531356385e-05	0.00021980622285847851
AC>CT	8.910190948881792e-05	5.955708190179712e-05	4.420013606996065e-05	0.0006577503034350229	9.410249531356385e-05	0.00021980622285847851
AC>GA	8.910190956157749e-05	5.955708186541733e-05	4.420009837470928e-05	0.0006577503510197857	9.410249531356385e-05	0.00021980622285847851
AC>GG	8.910190948881792e-05	5.955708190179712e-05	4.4199961231505824e-05	0.000657750523314462	9.410249531356385e-05	0.00021980622285847851
AC>GT	8.910190956157749e-05	5.9557082047316274e-05	4.420238904828011e-05	0.000657747470686445	9.410249531356385e-05	0.00021980622278571893
AC>TA	8.910190956157749e-05	5.955708197455669e-05	4.4200853155444976e-05	0.0006577494017983554	9.410249531356385e-05	0.00021980622285847851
AC>TG	0.002004647115382598	0.0020050849128396835	0.013289287916847047	0.00028210101684273954	0.7908035196476988	4.220626424529038e-05
AC>TT	8.910190948881792e-05	5.955708190179712e-05	4.4199972786245215e-05	0.0006577505087625468	9.410249531356385e-05	0.00021980622285847851
AT>CA	8.910190948881792e-05	5.955708190179712e-05	4.419988148777421e-05	0.0006577506236499175	9.410249531356385e-05	0.00021980622285847851
AT>CC	8.910191021641367e-05	5.9557083793546096e-05	4.423521050057389e-05	0.0006577062020369339	9.410249625943834e-05	0.00021980622154880615
AT>CG	8.910190956157749e-05	5.9557081938176905e-05	4.420078330632293e-05	0.0006577494896919234	9.410249531356385e-05	0.00021980622285847851
AT>GA	8.910190956157749e-05	5.955708186541733e-05	4.4199994159015434e-05	0.0006577504819870228	9.410249531356385e-05	0.00021980622285847851
AT>GC	8.910190948881792e-05	5.955708186541733e-05	4.419969550102376e-05	0.0006577508575719549	9.410249531356385e-05	0.00021980622285847851
AT>TA	8.910190956157749e-05	5.955708212007585e-05	4.4204014637330145e-05	0.000657745426724432	9.410249538632342e-05	0.00021980622271295936
CC>AA	3.4342628601512305e-05	0.9409014123678208	0.015091276872636027	0.11922211813154288	0.030405257106845402	0.06675615244660293
CC>AG	8.910190956157749e-05	5.955708190179712e-05	4.419983434450714e-05	0.0006577506828034529	9.410249531356385e-05	0.00021980622285847851
CC>AT	8.910190956157749e-05	5.955708190179712e-05	4.4199984349191365e-05	0.0006577504942833911	9.410249531356385e-05	0.00021980622285847851
CC>GA	8.910190956157749e-05	5.955708190179712e-05	4.4199742124693134e-05	0.0006577507988549769	9.410249531356385e-05	0.00021980622285847851
CC>GG	8.910190948881792e-05	5.955708190179712e-05	4.420015000516031e-05	0.0006577502860454842	9.410249531356385e-05	0.00021980622285847851
CC>GT	4.230336653511964e-05	0.05276590413932809	0.5715603821405114	0.07160233863898435	0.002566233839628107	0.02601624251976236
CC>TA	8.910190956157749e-05	5.955708190179712e-05	4.4200092075996625e-05	0.00065775035887782	9.410249531356385e-05	0.00021980622285847851
CC>TG	8.910190956157749e-05	5.955708197455669e-05	4.420100781928227e-05	0.0006577492074575275	9.410249531356385e-05	0.00021980622285847851
CC>TT	8.910190948881792e-05	5.955708190179712e-05	4.420014347306989e-05	0.0006577502941945568	9.410249531356385e-05	0.00021980622285847851
CG>AT	8.910190956157749e-05	5.955708190179712e-05	4.4200004118586376e-05	0.0006577504693996161	9.410249531356385e-05	0.00021980622285847851
CG>GC	8.910190956157749e-05	5.955708186541733e-05	4.4200350908099037e-05	0.0006577500334242358	9.410249531356385e-05	0.00021980622285847851
CG>GT	8.910190948881792e-05	5.955708186541733e-05	4.4200066342483526e-05	0.0006577503911830717	9.410249531356385e-05	0.00021980622285847851
CG>TA	8.910190948881792e-05	5.9557081792657756e-05	4.4199622811344627e-05	0.0006577509489579824	9.410249531356385e-05	0.00021980622285847851
CG>TC	8.910190956157749e-05	5.9557082047316274e-05	4.420180219810277e-05	0.0006577482086868258	9.410249531356385e-05	0.00021980622278571893
CG>TT	8.910190948881792e-05	5.9557081938176905e-05	4.420032268242835e-05	0.0006577500689309091	9.410249531356385e-05	0.00021980622285847851
CT>AA	8.910190956157749e-05	5.9557082010936486e-05	4.42018695306956e-05	0.0006577481239219196	9.410249531356385e-05	0.00021980622278571893
CT>AC	8.910190956157749e-05	5.9557082047316274e-05	4.4202699334618956e-05	0.0006577470804768382	9.410249538632342e-05	0.00021980622278571893
