Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA_38_4625_01A	497	0	160	0	15
TCGA_38_4626_01A	127	105	17	20	0
TCGA_38_4627_01A	0	7	4	0	17
TCGA_38_4631_01A	315	500	23	0	11
TCGA_38_7271_01A	14	22	28	0	0
TCGA_44_2655_01A	145	0	15	22	0
TCGA_44_2657_01A	296	27	49	48	45
TCGA_44_2659_01A	362	0	23	27	51
TCGA_44_3396_01A	11	59	108	0	41
TCGA_44_3917_01A	94	32	25	88	15
TCGA_44_3918_01A	885	0	124	27	51
TCGA_44_4112_01A	183	213	112	0	0
TCGA_44_5644_01A	310	605	55	0	74
TCGA_44_6145_01A	301	0	15	0	30
TCGA_44_6147_01A	71	27	4	28	0
TCGA_44_6774_01A	241	41	8	28	8
TCGA_44_6775_01A	0	18	10	28	16
TCGA_44_6776_01A	148	0	14	32	21
TCGA_44_6779_01A	39	0	6	18	44
TCGA_44_7661_01A	53	131	59	28	18
TCGA_44_7667_01A	249	61	20	143	66
TCGA_44_7670_01A	831	0	196	166	38
TCGA_44_7672_01A	19	152	7	0	10
TCGA_44_8117_01A	577	135	36	51	68
TCGA_44_A47G_01A	3	0	18	51	12
TCGA_44_A4SU_01A	21	85	3	35	27
TCGA_49_4487_01A	172	0	57	157	2
TCGA_49_4488_01A	123	159	30	0	4
TCGA_49_4490_01A	0	0	20	7	27
TCGA_49_4505_01A	110	36	27	21	51
TCGA_49_4506_01A	25	62	7	0	27
TCGA_49_4507_01A	83	0	60	51	36
TCGA_49_6744_01A	90	117	8	20	5
TCGA_49_6761_01A	17	61	86	16	25
TCGA_49_6767_01A	241	171	45	35	44
TCGA_50_5051_01A	62	25	9	0	24
TCGA_50_5941_01A	154	186	30	29	21
TCGA_50_5942_01A	15	0	0	45	5
TCGA_50_6590_01A	125	647	209	0	0
TCGA_50_6592_01A	18	112	63	115	17
TCGA_50_6593_01A	95	177	15	40	21
TCGA_50_6595_01A	0	0	26	60	7
TCGA_53_7624_01A	229	345	185	105	39
TCGA_53_7813_01A	0	151	0	0	26
TCGA_55_6543_01A	0	0	0	2	19
TCGA_55_6970_01A	53	56	13	47	19
TCGA_55_6971_01A	0	49	6	36	1
TCGA_55_6979_01A	59	0	51	7	8
TCGA_55_6981_01A	0	0	9	9	37
TCGA_55_6985_01A	323	52	13	88	33
TCGA_55_7281_01A	249	0	44	176	28
TCGA_55_7573_01A	14	0	7	35	1
TCGA_55_7574_01A	65	0	142	75	2
TCGA_55_7725_01A	0	140	1	0	16
TCGA_55_7726_01A	6	0	89	0	27
TCGA_55_7728_01A	43	43	3	0	19
TCGA_55_7911_01A	118	0	23	104	16
TCGA_55_7914_01A	20	93	29	7	55
TCGA_55_7995_01A	350	0	111	286	7
TCGA_55_8096_01A	85	0	9	47	26
TCGA_55_8097_01A	36	0	12	21	53
TCGA_55_8203_01A	179	235	1	0	65
TCGA_55_8208_01A	52	0	211	118	6
TCGA_55_8299_01A	68	103	11	39	14
TCGA_55_8506_01A	852	178	3	0	864
TCGA_55_8510_01A	139	157	33	14	16
TCGA_55_8511_01A	386	0	92	102	61
TCGA_55_8616_01A	278	273	28	0	49
TCGA_55_A48X_01A	318	9	33	84	14
TCGA_55_A48Z_01A	5	5	6	24	24
TCGA_55_A492_01A	169	34	17	78	34
TCGA_55_A493_01A	21	216	88	0	21
TCGA_55_A494_01A	152	20	11	18	71
TCGA_62_A46O_01A	562	0	186	243	48
TCGA_62_A46R_01A	0	113	34	1	41
TCGA_64_1679_01A	375	33	51	86	21
TCGA_64_1681_01A	0	0	23	53	8
TCGA_64_5781_01A	611	150	155	273	44
TCGA_67_3770_01A	131	0	3	79	28
TCGA_67_3774_01A	0	81	5	22	14
TCGA_67_6217_01A	135	0	10	44	23
TCGA_69_7973_01A	173	53	12	0	40
TCGA_69_7974_01A	302	142	40	28	60
TCGA_69_7979_01A	1316	108	114	27	112
TCGA_69_7980_01A	398	257	226	18	42
TCGA_73_4662_01A	90	71	18	40	13
TCGA_73_4666_01A	95	248	28	14	25
TCGA_73_4670_01A	164	0	18	174	35
TCGA_73_7498_01A	52	0	1	51	26
TCGA_78_7145_01A	71	98	15	8	27
TCGA_78_7146_01A	169	14	122	59	56
TCGA_78_7147_01A	0	239	63	52	33
TCGA_78_7153_01A	11	0	33	53	29
TCGA_78_7158_01A	131	0	46	65	24
TCGA_78_7159_01A	92	180	11	0	47
TCGA_78_7161_01A	83	60	12	32	22
TCGA_78_7220_01A	264	260	143	291	4
TCGA_83_5908_01A	90	50	120	0	12
TCGA_86_6851_01A	164	674	127	0	0
TCGA_86_7954_01A	22	78	56	39	48
TCGA_86_8056_01A	60	0	182	19	36
TCGA_86_8074_01A	4	0	6	48	14
TCGA_91_6830_01A	10	17	222	0	3
TCGA_91_6836_01A	280	27	30	121	41
TCGA_91_6840_01A	0	13	101	0	30
TCGA_91_6847_01A	6	0	21	19	46
TCGA_95_7039_01A	431	822	74	0	65
TCGA_95_7043_01A	843	20	78	145	69
TCGA_95_7948_01A	0	0	156	0	6
TCGA_95_A4VK_01A	204	0	10	51	44
TCGA_95_A4VN_01A	243	243	47	0	38
TCGA_95_A4VP_01A	7	125	1	0	15
TCGA_97_7547_01A	21	99	54	0	24
TCGA_97_7553_01A	12	0	3	4	28
TCGA_97_7941_01A	56	0	21	7	13
TCGA_97_8175_01A	3	0	3	18	6
TCGA_97_A4M0_01A	123	242	97	0	4
TCGA_97_A4M1_01A	5	3	15	0	24
TCGA_97_A4M3_01A	167	0	42	6	26
TCGA_99_7458_01A	253	133	11	101	18
TCGA_J2_8194_01A	0	94	10	25	37
TCGA_J2_A4AD_01A	55	59	200	44	23
TCGA_J2_A4AG_01A	39	0	8	18	31
TCGA_L4_A4E5_01A	269	0	14	88	25
TCGA_L9_A443_01A	148	0	15	117	12
TCGA_L9_A444_01A	288	309	18	0	28
TCGA_MP_A4T4_01A	85	301	31	0	26
TCGA_MP_A4T9_01A	0	6	7	29	0
TCGA_MP_A4TF_01A	301	0	27	147	22
TCGA_MP_A4TH_01A	31	4	0	70	26
TCGA_NJ_A4YQ_01A	658	562	26	0	52
TCGA_NJ_A55O_01A	131	2	13	0	17
TCGA_O1_A52J_01A	101	46	12	12	28
