Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA_38_4625_01A	8.85E+00	1.01E+01	1.81E+00	2.40E+00	9.50E-01
TCGA_38_4626_01A	5.65E+00	6.45E+00	8.28E-01	2.21E+00	4.38E-01
TCGA_38_4627_01A	2.89E-01	5.17E-01	2.29E-01	4.49E-01	5.70E-01
TCGA_38_4631_01A	1.12E+01	1.27E+01	1.12E+00	6.65E+00	1.12E+00
TCGA_38_7271_01A	1.38E+00	1.40E+00	5.26E-01	7.91E-01	3.00E-02
TCGA_44_2655_01A	3.52E+00	3.65E+00	5.54E-01	1.49E+00	1.00E-02
TCGA_44_2657_01A	6.80E+00	8.01E+00	1.12E+00	3.46E+00	1.51E+00
TCGA_44_2659_01A	6.50E+00	7.27E+00	9.48E-01	2.91E+00	1.35E+00
TCGA_44_3396_01A	2.06E+00	2.57E+00	1.40E+00	2.03E+00	1.33E+00
TCGA_44_3917_01A	5.00E+00	5.86E+00	8.38E-01	3.14E+00	1.12E+00
TCGA_44_3918_01A	1.25E+01	1.41E+01	1.77E+00	5.12E+00	1.88E+00
TCGA_44_4112_01A	7.67E+00	9.07E+00	1.59E+00	3.19E+00	5.39E-01
TCGA_44_5644_01A	1.17E+01	1.33E+01	1.60E+00	7.50E+00	2.15E+00
TCGA_44_6145_01A	6.73E+00	7.64E+00	6.68E-01	2.41E+00	1.16E+00
TCGA_44_6147_01A	2.63E+00	3.27E+00	4.04E-01	1.81E+00	1.91E-01
TCGA_44_6774_01A	5.73E+00	6.19E+00	5.50E-01	2.42E+00	6.67E-01
TCGA_44_6775_01A	7.60E-01	1.44E+00	5.63E-01	1.55E+00	1.05E+00
TCGA_44_6776_01A	2.88E+00	3.24E+00	6.49E-01	2.11E+00	1.31E+00
TCGA_44_6779_01A	1.75E+00	1.92E+00	4.29E-01	1.89E+00	1.26E+00
TCGA_44_7661_01A	4.01E+00	4.27E+00	1.13E+00	2.79E+00	9.96E-01
TCGA_44_7667_01A	7.19E+00	8.79E+00	9.58E-01	4.89E+00	1.62E+00
TCGA_44_7670_01A	1.20E+01	1.47E+01	2.23E+00	6.90E+00	2.13E+00
TCGA_44_7672_01A	3.25E+00	3.48E+00	6.88E-01	2.32E+00	8.48E-01
TCGA_44_8117_01A	9.71E+00	1.08E+01	1.41E+00	4.85E+00	1.68E+00
TCGA_44_A47G_01A	8.36E-01	1.25E+00	7.17E-01	1.65E+00	1.24E+00
TCGA_44_A4SU_01A	2.64E+00	3.15E+00	4.79E-01	2.57E+00	1.34E+00
TCGA_49_4487_01A	4.94E+00	6.15E+00	1.27E+00	3.87E+00	8.59E-01
TCGA_49_4488_01A	3.89E+00	4.58E+00	8.58E-01	2.39E+00	8.46E-01
TCGA_49_4490_01A	0.00E+00	3.97E-01	6.24E-01	8.16E-01	9.48E-01
TCGA_49_4505_01A	3.59E+00	4.28E+00	6.99E-01	1.92E+00	1.09E+00
TCGA_49_4506_01A	1.73E+00	2.59E+00	3.57E-01	1.95E+00	1.24E+00
TCGA_49_4507_01A	2.69E+00	3.24E+00	1.17E+00	2.21E+00	1.34E+00
TCGA_49_6744_01A	4.07E+00	4.46E+00	6.59E-01	1.99E+00	7.21E-01
TCGA_49_6761_01A	2.36E+00	2.97E+00	1.19E+00	2.51E+00	1.17E+00
TCGA_49_6767_01A	6.22E+00	7.14E+00	1.15E+00	4.45E+00	1.53E+00
TCGA_50_5051_01A	2.22E+00	2.44E+00	4.99E-01	1.55E+00	1.02E+00
TCGA_50_5941_01A	5.45E+00	6.34E+00	1.13E+00	3.64E+00	1.06E+00
TCGA_50_5942_01A	8.34E-01	1.40E+00	2.97E-01	1.48E+00	6.05E-01
TCGA_50_6590_01A	1.10E+01	1.16E+01	2.30E+00	6.45E+00	9.85E-01
TCGA_50_6592_01A	3.39E+00	4.45E+00	1.34E+00	3.55E+00	1.34E+00
TCGA_50_6593_01A	5.25E+00	6.26E+00	8.96E-01	3.72E+00	1.12E+00
TCGA_50_6595_01A	1.02E+00	1.58E+00	8.56E-01	1.99E+00	8.66E-01
TCGA_53_7624_01A	9.00E+00	9.34E+00	2.02E+00	6.10E+00	1.76E+00
TCGA_53_7813_01A	3.28E+00	3.84E+00	1.89E-01	2.61E+00	1.06E+00
TCGA_55_6543_01A	3.00E-02	2.70E-01	4.77E-02	4.62E-01	4.81E-01
TCGA_55_6970_01A	3.09E+00	3.59E+00	5.92E-01	2.30E+00	1.07E+00
TCGA_55_6971_01A	1.49E+00	2.54E+00	5.05E-01	2.08E+00	4.45E-01
TCGA_55_6979_01A	2.17E+00	2.26E+00	9.15E-01	1.18E+00	5.72E-01
TCGA_55_6981_01A	2.87E-01	3.03E-01	4.47E-01	8.02E-01	8.95E-01
TCGA_55_6985_01A	6.64E+00	7.68E+00	8.35E-01	4.61E+00	1.39E+00
TCGA_55_7281_01A	6.84E+00	8.50E+00	1.09E+00	5.01E+00	1.49E+00
TCGA_55_7573_01A	9.53E-01	1.48E+00	5.08E-01	1.33E+00	3.04E-01
TCGA_55_7574_01A	3.42E+00	3.88E+00	1.56E+00	2.31E+00	6.54E-01
TCGA_55_7725_01A	3.03E+00	3.22E+00	3.06E-01	2.26E+00	8.29E-01
TCGA_55_7726_01A	3.99E-01	7.09E-01	1.03E+00	9.99E-01	8.00E-01
TCGA_55_7728_01A	2.17E+00	2.40E+00	3.48E-01	9.91E-01	8.63E-01
TCGA_55_7911_01A	3.47E+00	4.39E+00	8.26E-01	2.87E+00	1.17E+00
TCGA_55_7914_01A	2.67E+00	3.44E+00	8.16E-01	2.72E+00	1.62E+00
TCGA_55_7995_01A	6.79E+00	7.96E+00	2.11E+00	5.78E+00	1.05E+00
TCGA_55_8096_01A	2.52E+00	2.80E+00	6.48E-01	2.01E+00	8.33E-01
TCGA_55_8097_01A	1.71E+00	2.25E+00	6.33E-01	1.85E+00	1.33E+00
TCGA_55_8203_01A	7.04E+00	7.92E+00	6.37E-01	3.26E+00	1.43E+00
TCGA_55_8208_01A	2.81E+00	3.91E+00	1.77E+00	3.30E+00	9.83E-01
TCGA_55_8299_01A	3.83E+00	4.87E+00	6.74E-01	2.85E+00	8.83E-01
TCGA_55_8506_01A	1.53E+01	1.68E+01	1.32E+00	8.21E+00	7.12E+00
TCGA_55_8510_01A	4.90E+00	5.45E+00	9.96E-01	2.73E+00	1.04E+00
TCGA_55_8511_01A	5.48E+00	6.62E+00	1.45E+00	4.54E+00	2.09E+00
TCGA_55_8616_01A	8.87E+00	9.73E+00	1.13E+00	3.41E+00	1.41E+00
TCGA_55_A48X_01A	7.20E+00	8.11E+00	1.01E+00	3.30E+00	9.31E-01
TCGA_55_A48Z_01A	7.96E-01	1.21E+00	4.11E-01	1.08E+00	9.77E-01
TCGA_55_A492_01A	4.85E+00	6.00E+00	8.05E-01	3.92E+00	1.39E+00
TCGA_55_A493_01A	4.32E+00	4.79E+00	1.34E+00	3.34E+00	1.17E+00
TCGA_55_A494_01A	3.68E+00	4.33E+00	6.35E-01	2.61E+00	1.47E+00
TCGA_62_A46O_01A	7.95E+00	9.22E+00	2.14E+00	6.55E+00	1.76E+00
TCGA_62_A46R_01A	2.52E+00	3.04E+00	9.84E-01	2.13E+00	1.41E+00
TCGA_64_1679_01A	7.82E+00	9.10E+00	1.20E+00	3.62E+00	1.07E+00
TCGA_64_1681_01A	3.44E-01	8.88E-01	8.19E-01	1.52E+00	8.57E-01
TCGA_64_5781_01A	1.26E+01	1.53E+01	2.31E+00	5.99E+00	1.83E+00
TCGA_67_3770_01A	3.81E+00	4.48E+00	4.19E-01	3.01E+00	1.50E+00
TCGA_67_3774_01A	1.97E+00	2.75E+00	4.92E-01	2.13E+00	1.11E+00
TCGA_67_6217_01A	3.73E+00	4.40E+00	6.34E-01	2.58E+00	1.27E+00
TCGA_69_7973_01A	4.33E+00	4.83E+00	5.82E-01	1.73E+00	1.40E+00
TCGA_69_7974_01A	8.10E+00	8.66E+00	1.16E+00	4.00E+00	1.43E+00
