Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
TCGA_38_4628_01A	1.00E-02	0.00E+00	0.00E+00	1.00E-02	0.00E+00
TCGA_49_AAQV_01A	1.97E-02	1.71E-02	2.88E-02	4.76E-02	3.86E-02
TCGA_50_6591_01A	3.43E-02	2.43E-02	5.39E-02	2.43E-02	2.81E-02
TCGA_62_8394_01A	1.00E-02	0.00E+00	0.00E+00	1.00E-02	0.00E+00
TCGA_62_8397_01A	1.00E-02	1.41E-02	0.00E+00	0.00E+00	1.00E-02
TCGA_86_7953_01A	1.41E-02	0.00E+00	0.00E+00	1.41E-02	0.00E+00
TCGA_86_8278_01A	1.00E-02	0.00E+00	0.00E+00	1.00E-02	0.00E+00
TCGA_86_8280_01A	1.71E-02	1.00E-02	1.97E-02	1.41E-02	3.02E-02
TCGA_97_8552_01A	2.56E-02	2.88E-02	3.59E-02	5.02E-02	4.09E-02
TCGA_99_8033_01A	9.69E-02	1.46E-01	1.23E-01	7.88E-02	5.17E-02
