MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
1:Del:C:1	0.33780126959085466	0.22821911112485396	0.13017228806425918	0.07237816211608106
1:Del:C:2	0.022256557610686768	0.2708199341595173	0.08542394033124538	0.026191220090445312
1:Del:C:3	0.07829322999520513	0.04178967089740212	0.06958744624507884	0.034746784870392275
1:Del:C:4	0.04337817443601352	0.01669979511707659	0.02598873662108957	0.018397409976866008
1:Del:C:5	0.019590688715579462	0.007074344539379211	0.011378867397239248	0.03535080792715917
1:Del:T:0	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
1:Del:T:1	0.02413922185623651	0.07813443110389016	0.1086680200434057	0.03723288805799939
1:Del:T:2	0.009603111220714026	0.011513392893618928	0.015790645278040926	0.0389311486758541
1:Del:T:3	0.004709127633802836	0.0009645685341315868	0.0031928364352199878	0.004408420124672147
1:Del:T:4	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
1:Del:T:5	0.005778724589027035	0.0038104134495483776	0.006186311992163951	0.010743205271727447
1:Ins:C:0	0.0035207171212985598	0.0061174725496721295	0.009092539106250115	0.006084098255079198
1:Ins:C:1	0.004549320983969664	0.007359934209740118	0.0170017095626082	0.006337370170942904
1:Ins:C:2	0.0023604548488640378	0.000860275667772612	0.003446317083578947	0.012679640637218199
1:Ins:C:3	0.009440421639440082	0.0012654241054649872	0.004306745060679589	0.01647585477412889
1:Ins:C:4	0.010280466191818221	0.005809723879089575	0.011008891813178252	0.010868528126868568
1:Ins:C:5	0.0017337874113690077	0.008782020662723653	0.0007183356560432231	8.095141281501127e-06
1:Ins:T:0	0.04259128746266356	0.011309562070589405	0.024670918701043546	0.027086429883447352
1:Ins:T:1	0.02970057226238797	0.04617675054816232	0.06349402388919836	0.03643324869299289
1:Ins:T:2	0.026920701395483207	0.043083823427836024	0.020107990416074414	0.029566506873771062
1:Ins:T:3	0.005189492278558419	0.004214381717675053	0.006292798661663141	0.005232196352532128
1:Ins:T:4	0.0032138802767228826	0.004832765440776257	0.007234102140913592	0.006554987545968061
1:Ins:T:5	0.022011258071702285	0.020692638410159815	0.012752696337239229	0.016615013509690472
2:Del:R:0	0.006742512940585712	0.014074143647150655	0.06233792530482113	0.01163782178537133
2:Del:R:1	0.0013961849829775019	0.0032552750472385128	0.012376593558191047	0.0024616371575865515
2:Del:R:2	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Del:R:3	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Del:R:4	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Del:R:5	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
3:Del:R:0	0.002808567229566279	0.004532589766963895	0.021647778487755998	0.0032078220892367425
3:Del:R:1	0.0017148913106238694	0.0015354688218837964	0.005770158930961884	0.006829570475812261
3:Del:R:2	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
3:Del:R:3	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
3:Del:R:4	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
3:Del:R:5	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
4:Del:R:0	0.004516987592709825	0.00965965627321367	0.026943461157950422	0.011388290597043636
4:Del:R:1	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
4:Del:R:2	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
4:Del:R:3	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
4:Del:R:4	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
4:Del:R:5	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
5:Del:R:0	0.05400606500715639	0.03413498608565082	0.044184801833881696	0.28884354505687954
5:Del:R:1	0.0005924738844845478	0.002610869585138573	0.010041355611161863	0.0014024770813625765
5:Del:R:2	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
5:Del:R:3	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
5:Del:R:4	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
5:Del:R:5	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Ins:R:0	0.006456712043371837	0.004420559908801778	0.0034115208988612267	0.011176176305482385
2:Ins:R:1	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Ins:R:2	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Ins:R:3	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Ins:R:4	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
2:Ins:R:5	7.50365380781659e-06	6.512938614378072e-06	6.611835442527081e-06	1.0222846889291759e-05
