Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
TCGA_44_5645_01A	0	0	0	0	0	0	0	2	0	0
TCGA_44_A479_01A	0	3	0	0	0	4	5	0	2	0
TCGA_49_4510_01A	0	0	0	0	0	1	0	0	0	3
TCGA_49_AARE_01A	49	3	0	0	9	2	0	0	0	0
TCGA_49_AARN_01A	2	5	4	1	0	4	0	9	0	0
TCGA_49_AARO_01A	0	3	0	0	2	0	0	2	0	1
TCGA_49_AARQ_01A	0	0	3	0	1	0	0	3	5	0
TCGA_4B_A93V_01A	0	3	0	1	0	1	0	3	0	0
TCGA_50_8457_01A	0	0	0	0	0	3	0	0	0	4
TCGA_55_7910_01A	0	1	0	0	0	0	6	2	0	0
TCGA_55_7913_01B	0	5	0	2	2	1	0	0	0	4
TCGA_55_8508_01A	0	1	8	0	0	1	3	0	0	2
TCGA_55_8514_01A	3	3	3	1	2	1	0	2	0	0
TCGA_69_8253_01A	0	0	0	0	0	3	0	0	0	0
TCGA_69_A59K_01A	0	0	0	0	3	0	1	0	14	1
TCGA_86_7714_01A	0	0	0	0	0	3	0	0	0	6
TCGA_99_8025_01A	0	0	8	0	1	3	0	0	0	0
TCGA_99_8028_01A	1	0	1	0	4	0	6	0	0	0
TCGA_99_AA5R_01A	0	1	1	0	0	0	0	0	0	0
TCGA_L9_A5IP_01A	0	0	7	0	4	0	2	1	0	0
TCGA_L9_A8F4_01A	0	1	1	29	0	0	1	0	0	0
TCGA_NJ_A4YF_01A	1	15	5	0	0	0	0	0	0	0
TCGA_S2_AA1A_01A	0	0	0	0	2	0	0	0	0	0
