MutationType	DBS78A	DBS78B	DBS78C	DBS78D
AC>CA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
AC>CG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
AC>CT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
AC>GA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
AC>GG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
AC>GT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
AC>TA	0.00562867915586376	0.01805302527177645	9.35188108176166e-06	0.010859107138084419
AC>TG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
AC>TT	0.007302174546239258	0.0005081618389181131	0.01884083592180559	0.002472419621487916
AT>CA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
AT>CC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
AT>CG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
AT>GA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
AT>GC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
AT>TA	0.002659537796428708	0.00430397576372577	0.01420222178019685	0.023994636427050863
CC>AA	0.6458891228729225	0.4248918541280545	0.30508678345263207	0.04385737488095787
CC>AG	0.019453422038333498	0.21050250855327818	0.009975679982780377	0.05091901223725996
CC>AT	0.04873008764620627	0.004661574297239331	0.2014896339098007	0.0336902601795805
CC>GA	0.014225119778811926	0.025423736110793696	0.00889984267149898	0.019286940667965023
CC>GG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
CC>GT	0.006667069063114468	0.01118152080645757	0.006629875909331986	0.014236567785958413
CC>TA	0.017536888634447224	0.010321073155402045	0.016605648115628355	0.01255748910061584
CC>TG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
CC>TT	0.007300367336000033	0.03605373287883071	0.00810100394150312	0.2359378643324726
CG>AT	0.0022323641426513145	0.019063221487440246	0.004611761546202615	0.018147642383537457
CG>GC	0.0011755206649223737	0.0021552389291761643	0.004424407656424592	0.05253162609834362
CG>GT	0.005205277242866941	0.011482835639020295	0.01593156904369607	0.011659762548001709
CG>TA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
CG>TC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
CG>TT	0.032414226004192165	0.02035369602463387	0.08281160052469165	0.025953441945541375
CT>AA	0.051365091297839054	0.014383335565742759	0.06588388809974356	0.012058526083465528
CT>AC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
CT>AG	0.009187928518761735	0.03564360439046063	0.012189615989156972	0.03442845054421877
CT>GA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
CT>GC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
CT>GG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
CT>TA	0.005375049387464514	0.015691071911040275	0.003064799499929484	0.06893214380168161
CT>TC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
CT>TG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
GC>AA	0.018910356083822178	0.037681462222068675	0.03457457265747444	0.07111641602504903
GC>AG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
GC>AT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
GC>CA	0.004659485348445287	0.004840042515876348	0.01602143783290103	0.001287668039150276
GC>CG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
GC>TA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TA>AT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TA>CG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TA>CT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TA>GC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TA>GG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TA>GT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TC>AA	0.013838861184295866	0.015909870237718025	0.015263597805389627	0.022543013984933424
TC>AG	0.005820457569458312	0.008623889137138576	0.004183369414270146	0.019396678655286905
TC>AT	0.010816111280503264	0.008627237163807422	0.009963510659147232	0.008633832303089548
TC>CA	0.005131132898898887	0.019088087818739153	0.007677616626078818	0.01185675140278359
TC>CG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TC>CT	0.013012581453947404	0.004603624174945367	0.012008293998242721	0.005491213817537504
TC>GA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TC>GG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TC>GT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TG>AA	0.01149742652450243	0.00454360325452143	0.03898166251416116	0.030758796707002545
TG>AC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TG>AT	0.005649366713420037	0.007974025335653914	0.018271957587069215	0.10762567381913414
TG>CA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TG>CC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TG>CT	0.019629814748741002	0.017787407754652547	0.05418730954239917	0.046719615556596324
TG>GA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TG>GC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TG>GT	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TT>AA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.5682003868278117e-05
TT>AC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TT>AG	0.00799410043982448	0.005023219329450513	0.009458339571638134	0.002262958961619006
TT>CA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TT>CC	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TT>CG	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TT>GA	1.384766378578206e-05	1.2467182004911592e-05	1.2995934862374269e-05	1.568200388646801e-05
TT>GC	1.3847663794877007e-05	1.2467181995816645e-05	1.2995934853279322e-05	1.5682004031987163e-05
TT>GG	1.3847663794877007e-05	1.2467181995816645e-05	1.2995934853279322e-05	1.568200401379727e-05
