Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA_44_5645_01A	2.60E-01	1.80E+00	1.73E+00	9.10E-01
TCGA_44_A479_01A	7.21E+00	7.92E+00	4.18E+00	1.01E+00
TCGA_49_4510_01A	1.28E+00	2.10E+00	1.85E+00	8.00E-01
TCGA_49_AARE_01A	1.90E+01	2.37E+01	1.21E+01	1.87E+00
TCGA_49_AARN_01A	4.90E-01	0.00E+00	7.60E-01	9.00E-01
TCGA_49_AARO_01A	1.44E+01	1.60E+01	5.13E+00	6.73E-01
TCGA_49_AARQ_01A	1.71E+01	2.14E+01	9.14E+00	9.85E-01
TCGA_4B_A93V_01A	3.65E+00	4.71E+00	2.92E+00	7.43E-01
TCGA_50_8457_01A	1.26E+00	1.92E+00	1.86E+00	5.56E-01
TCGA_55_7910_01A	7.08E+00	8.28E+00	3.76E+00	9.85E-02
TCGA_55_7913_01B	6.97E+00	8.61E+00	6.32E+00	1.53E+00
TCGA_55_8508_01A	3.34E+00	5.44E+00	4.90E+00	1.32E+00
TCGA_55_8514_01A	8.07E+00	1.09E+01	6.39E+00	4.15E-01
TCGA_69_8253_01A	3.74E+00	4.84E+00	4.11E+00	9.50E-01
TCGA_69_A59K_01A	1.10E+01	1.36E+01	6.59E+00	0.00E+00
TCGA_86_7714_01A	1.91E+00	3.00E+00	2.84E+00	2.94E-01
TCGA_99_8025_01A	5.24E+00	7.03E+00	9.17E+00	1.48E+00
TCGA_99_8028_01A	9.80E+00	1.02E+01	2.60E+00	1.35E-01
TCGA_99_AA5R_01A	2.00E+00	2.03E+00	6.33E-01	2.97E-01
TCGA_L9_A5IP_01A	1.00E+01	1.17E+01	4.18E+00	5.11E-01
TCGA_L9_A8F4_01A	2.07E+01	2.63E+01	1.21E+01	2.14E+00
TCGA_NJ_A4YF_01A	1.51E+01	1.65E+01	5.68E+00	9.14E-01
TCGA_S2_AA1A_01A	3.90E+00	4.65E+00	2.07E+00	4.40E-01
