Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_44_8117_01A	0.00E+00	4.57E-01	3.73E-01	1.93E-01	2.77E-01	1.99E-01	2.40E-01	3.39E-01
TCGA_44_A47G_01A	2.99E-01	2.61E-02	1.39E-01	1.45E-01	1.87E-01	1.27E-01	1.93E-01	1.91E-01
TCGA_44_A4SU_01A	0.00E+00	1.80E-01	5.45E-02	3.59E-02	4.86E-02	8.06E-02	1.03E-01	1.72E-01
TCGA_49_4487_01A	0.00E+00	3.32E-01	3.12E-01	1.13E-01	2.44E-01	2.92E-01	4.00E-01	4.91E-01
TCGA_49_4488_01A	9.25E-02	2.96E-01	3.70E-01	1.03E-01	2.02E-01	1.56E-01	8.51E-02	9.28E-02
TCGA_49_4490_01A	0.00E+00	5.30E-02	1.06E-01	1.17E-01	9.17E-02	9.14E-02	8.09E-02	1.14E-01
TCGA_49_4505_01A	9.64E-02	1.53E-01	1.41E-01	4.22E-02	1.45E-01	2.00E-01	2.39E-01	2.68E-01
TCGA_49_4506_01A	2.02E-01	1.53E-01	1.64E-01	5.98E-02	1.76E-01	1.57E-01	1.27E-01	1.83E-01
TCGA_49_4507_01A	6.31E-02	1.50E-01	1.96E-01	5.75E-02	1.33E-01	1.83E-01	1.27E-01	1.16E-01
TCGA_49_6744_01A	0.00E+00	2.27E-01	2.43E-01	8.89E-02	2.76E-01	1.49E-01	9.24E-02	1.07E-01
TCGA_49_6761_01A	1.00E-02	6.09E-02	6.92E-02	5.06E-02	9.09E-02	1.70E-01	1.67E-01	8.56E-02
TCGA_49_6767_01A	3.43E-02	3.45E-01	3.49E-01	6.97E-02	2.89E-01	2.14E-01	1.64E-01	1.11E-01
TCGA_50_5051_01A	0.00E+00	1.64E-01	1.34E-01	1.03E-01	2.11E-01	2.03E-01	1.30E-01	2.16E-01
TCGA_50_5941_01A	0.00E+00	3.81E-01	4.10E-01	2.60E-01	4.39E-01	5.49E-01	2.93E-01	3.21E-01
TCGA_50_5942_01A	8.81E-02	1.36E-01	7.48E-02	5.69E-02	7.40E-02	1.55E-01	7.40E-02	6.13E-02
TCGA_50_6590_01A	0.00E+00	4.15E-01	4.04E-01	2.29E-01	4.98E-01	3.92E-01	3.39E-01	4.16E-01
TCGA_50_6592_01A	6.26E-02	2.02E-01	1.82E-01	2.98E-01	2.36E-01	2.79E-01	1.57E-01	2.57E-01
TCGA_50_6593_01A	1.97E-01	2.30E-01	2.44E-01	1.59E-01	2.31E-01	2.48E-01	1.14E-01	2.06E-01
TCGA_50_6595_01A	0.00E+00	9.28E-02	3.15E-02	0.00E+00	0.00E+00	1.23E-01	1.15E-01	1.47E-01
