MutationType	ID83A	ID83B	ID83C
1:Del:C:0	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
1:Del:C:1	0.009918215445037041	0.089511967821295	0.14059644680760586
1:Del:C:2	0.0032775266315681105	0.09172912148396335	0.01738896281511122
1:Del:C:3	0.0013059001288987205	0.02880024912310091	0.016948692120708982
1:Del:C:4	0.001618705357933834	0.008945965916536807	0.005841128321326323
1:Del:C:5	0.001153003752081574	0.007766076355164841	0.003853778761272224
1:Del:T:0	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
1:Del:T:1	0.027714281329692482	0.05240936251915912	0.028611982792432683
1:Del:T:2	0.0007599040400670987	0.020396834288462742	0.010077891966766402
1:Del:T:3	0.0014897959150778827	0.03280672182287617	0.023504303249328586
1:Del:T:4	0.0035269398682306985	0.017170027749180007	0.008920598147583406
1:Del:T:5	0.00039164964165564695	0.0118160814233579	0.004761594219171456
1:Ins:C:0	0.016781438058665117	2.020211105445924e-05	1.9753318601942736e-05
1:Ins:C:1	0.01212180179740141	0.02552129279983319	0.049144064415778
1:Ins:C:2	0.009794305104656474	0.011308566835609782	0.0032459205534041756
1:Ins:C:3	0.00014689137907907934	0.01064921653141937	0.0040285616535857115
1:Ins:C:4	0.0010034673376283542	0.010932647022650599	0.01805414145963141
1:Ins:C:5	0.000519442943104309	0.010557228503639635	0.0031803263889833033
1:Ins:T:0	0.030931074241269983	0.014502726671415757	0.015439815750043521
1:Ins:T:1	0.009745164709602754	0.10310376764513136	0.036858803755423344
1:Ins:T:2	8.258219424121193e-05	0.02352934295088744	0.02275517604651668
1:Ins:T:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
1:Ins:T:4	0.0004728215827547899	0.006484665353045784	0.005806516198736063
1:Ins:T:5	0.002325914574775503	0.07728423396108144	0.03183105407284626
2:Del:R:0	0.007811850794738717	0.01982898749027754	0.009322831575991586
2:Del:R:1	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
2:Del:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
2:Del:R:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
2:Del:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
2:Del:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
3:Del:R:0	0.0009956534919241733	0.023449250070807465	0.007687281913376864
3:Del:R:1	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
3:Del:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
3:Del:R:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
3:Del:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
3:Del:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
4:Del:R:0	0.0005610137837811635	0.006893074791669278	0.005441519619362225
4:Del:R:1	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
4:Del:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
4:Del:R:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
4:Del:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
4:Del:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
5:Del:R:0	0.04776625327887814	0.022322109884091147	0.3348592644929886
5:Del:R:1	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
5:Del:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
5:Del:R:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
5:Del:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
5:Del:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
2:Ins:R:0	0.11642292466014624	0.009877249701853543	0.002803963326509802
2:Ins:R:1	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
2:Ins:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
2:Ins:R:3	0.0008254905460809425	0.005178035431072203	0.009188024362129
2:Ins:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
2:Ins:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
3:Ins:R:0	0.05143029774073511	1.741542970194132e-05	1.7206275724674925e-05
3:Ins:R:1	0.0023051520882557243	0.0033447429541729433	0.009557904226830942
3:Ins:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
3:Ins:R:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
3:Ins:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
3:Ins:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
4:Ins:R:0	0.038343725444083245	1.8200671684098778e-05	1.7934593433892587e-05
4:Ins:R:1	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
4:Ins:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
4:Ins:R:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
4:Ins:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
4:Ins:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
5:Ins:R:0	0.5562688767910003	9.613181022378969e-06	7.752755857952484e-06
5:Ins:R:1	0.0018147629734655802	0.054943175486407654	0.026449882390737187
5:Ins:R:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
5:Ins:R:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
5:Ins:R:4	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
5:Ins:R:5	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
2:Del:M:1	0.011121887433857669	0.020206259440156204	0.023356072841174864
3:Del:M:1	2.248151291439626e-06	0.003778836324513577	0.011559666502389519
3:Del:M:2	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
4:Del:M:1	0.00029420832772004247	0.018312852486783413	0.012573685116640263
4:Del:M:2	0.0005031347376834106	0.006632210941470476	0.007061674035899159
4:Del:M:3	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
5:Del:M:1	0.022420319720059218	0.12283133870630081	0.06317169607704542
5:Del:M:2	0.00015347655592504023	0.02343023849465226	0.024074245293354578
5:Del:M:3	0.00568864684713617	0.002589172042098653	0.0009074990387671278
5:Del:M:4	4.301414642213786e-06	2.4793992979539324e-05	2.4372230709559516e-05
5:Del:M:5	4.301414649034996e-06	2.479399290677975e-05	2.4372230855078668e-05
