Samples	ID83A	ID83B	ID83C	ID83D	ID83E
TCGA_38_4625_01A	3.81E-01	3.80E-01	8.47E-02	2.44E-01	2.63E-01
TCGA_38_4626_01A	2.95E-01	3.23E-01	0.00E+00	8.36E-02	2.05E-01
TCGA_38_4627_01A	8.82E-02	1.04E-01	2.00E-02	9.24E-02	1.35E-01
TCGA_38_4631_01A	8.93E-01	8.69E-01	1.41E-01	2.45E-01	2.86E-01
TCGA_38_7271_01A	1.49E-01	1.55E-01	0.00E+00	1.41E-02	1.08E-01
TCGA_44_2655_01A	2.70E-01	3.01E-01	1.43E-01	2.31E-01	2.33E-01
TCGA_44_2657_01A	3.01E-01	2.84E-01	0.00E+00	2.43E-02	1.53E-01
TCGA_44_2659_01A	4.47E-01	6.94E-01	1.39E-01	4.03E-01	5.34E-01
TCGA_44_3396_01A	1.79E-01	2.24E-01	0.00E+00	2.59E-01	1.41E-01
TCGA_44_3917_01A	1.52E-01	1.52E-01	0.00E+00	0.00E+00	1.00E-02
TCGA_44_3918_01A	9.78E-01	1.00E+00	0.00E+00	2.02E-01	3.41E-01
TCGA_44_4112_01A	4.37E-01	4.71E-01	1.39E-01	2.75E-01	2.51E-01
TCGA_44_5644_01A	7.96E-01	7.30E-01	1.92E-01	4.33E-01	5.00E-01
TCGA_44_6145_01A	3.21E-01	2.87E-01	0.00E+00	7.75E-02	2.14E-01
TCGA_44_6147_01A	2.16E-01	1.77E-01	0.00E+00	5.81E-02	2.15E-01
TCGA_44_6774_01A	2.40E-01	2.54E-01	0.00E+00	1.97E-01	1.83E-01
TCGA_44_6775_01A	1.01E-01	1.23E-01	1.42E-01	1.04E-01	1.26E-01
TCGA_44_6776_01A	3.61E-01	3.38E-01	1.28E-01	1.95E-01	2.00E-01
TCGA_44_6779_01A	1.78E-01	1.79E-01	0.00E+00	8.91E-02	9.57E-02
TCGA_44_7661_01A	3.47E-01	3.48E-01	3.26E-02	4.94E-02	2.29E-01
TCGA_44_7667_01A	4.44E-01	4.76E-01	0.00E+00	1.58E-01	2.70E-01
