Sample Names	MutationType	DBS78A
TCGA_38_4628_01A	TT>CC	1.0
TCGA_38_4628_01A	TT>CG	1.0
TCGA_38_4628_01A	TT>GA	1.0
TCGA_38_4628_01A	TT>GC	1.0
TCGA_38_4628_01A	TT>GG	1.0
TCGA_49_AAQV_01A	AC>CA	1.0
TCGA_49_AAQV_01A	AC>CG	1.0
TCGA_49_AAQV_01A	AC>CT	1.0
TCGA_49_AAQV_01A	AC>GA	1.0
TCGA_49_AAQV_01A	AC>GG	1.0
TCGA_49_AAQV_01A	AC>GT	1.0
TCGA_49_AAQV_01A	AC>TA	1.0
TCGA_49_AAQV_01A	AC>TG	1.0
TCGA_49_AAQV_01A	AC>TT	1.0
TCGA_49_AAQV_01A	AT>CA	1.0
TCGA_49_AAQV_01A	AT>CC	1.0
TCGA_49_AAQV_01A	AT>CG	1.0
TCGA_49_AAQV_01A	AT>GA	1.0
TCGA_49_AAQV_01A	AT>GC	1.0
TCGA_49_AAQV_01A	AT>TA	1.0
TCGA_49_AAQV_01A	CC>AA	1.0
TCGA_49_AAQV_01A	CC>AG	1.0
TCGA_49_AAQV_01A	CC>AT	1.0
TCGA_49_AAQV_01A	CC>GA	1.0
TCGA_49_AAQV_01A	CC>GG	1.0
TCGA_49_AAQV_01A	CC>GT	1.0
TCGA_49_AAQV_01A	CC>TA	1.0
TCGA_49_AAQV_01A	CC>TG	1.0
TCGA_49_AAQV_01A	CC>TT	1.0
TCGA_49_AAQV_01A	CG>AT	1.0
TCGA_49_AAQV_01A	CG>GC	1.0
TCGA_49_AAQV_01A	CG>GT	1.0
TCGA_49_AAQV_01A	CG>TA	1.0
TCGA_49_AAQV_01A	CG>TC	1.0
TCGA_49_AAQV_01A	CG>TT	1.0
TCGA_49_AAQV_01A	CT>AA	1.0
TCGA_49_AAQV_01A	CT>AC	1.0
TCGA_49_AAQV_01A	CT>AG	1.0
TCGA_49_AAQV_01A	CT>GA	1.0
TCGA_49_AAQV_01A	CT>GC	1.0
TCGA_49_AAQV_01A	CT>GG	1.0
TCGA_49_AAQV_01A	CT>TA	1.0
TCGA_49_AAQV_01A	CT>TC	1.0
TCGA_49_AAQV_01A	CT>TG	1.0
TCGA_49_AAQV_01A	GC>AA	1.0
TCGA_49_AAQV_01A	GC>AG	1.0
TCGA_49_AAQV_01A	GC>AT	1.0
TCGA_49_AAQV_01A	GC>CA	1.0
TCGA_49_AAQV_01A	GC>CG	1.0
TCGA_49_AAQV_01A	GC>TA	1.0
