MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.01E-07	1.68E-08	1.48E-07	2.61E-07
1:Del:C:1	8.69E-03	5.75E-04	2.12E-03	1.44E-02
1:Del:C:2	5.97E-03	6.45E-04	4.92E-03	8.73E-03
1:Del:C:3	3.54E-03	5.43E-09	5.09E-03	5.70E-03
1:Del:C:4	2.27E-03	4.23E-04	5.55E-03	4.23E-03
1:Del:C:5	1.14E-03	2.14E-05	2.94E-03	1.11E-03
1:Del:T:0	1.01E-07	1.68E-08	1.48E-07	2.61E-07
1:Del:T:1	3.54E-03	5.18E-04	3.39E-03	7.57E-03
1:Del:T:2	1.30E-03	1.64E-08	1.36E-03	2.76E-03
1:Del:T:3	9.55E-04	1.16E-08	2.57E-03	2.12E-03
1:Del:T:4	8.88E-04	1.71E-04	1.76E-03	2.17E-03
1:Del:T:5	2.53E-07	2.41E-04	1.80E-03	7.06E-04
1:Ins:C:0	5.10E-04	9.21E-04	5.17E-04	1.19E-03
1:Ins:C:1	6.41E-04	4.67E-04	8.37E-04	1.26E-03
1:Ins:C:2	6.52E-04	9.62E-05	1.02E-03	1.10E-03
1:Ins:C:3	7.37E-04	1.27E-08	1.09E-03	1.10E-03
1:Ins:C:4	5.07E-04	2.66E-04	1.31E-03	7.52E-04
1:Ins:C:5	3.53E-04	1.00E-04	2.27E-03	1.24E-03
1:Ins:T:0	1.51E-03	9.32E-04	9.97E-04	2.29E-03
1:Ins:T:1	2.66E-03	6.74E-04	1.55E-03	3.87E-03
1:Ins:T:2	1.86E-03	3.43E-04	1.71E-03	3.28E-03
1:Ins:T:3	5.66E-04	2.77E-04	8.79E-04	6.87E-04
1:Ins:T:4	3.76E-04	1.33E-04	1.12E-03	1.00E-03
1:Ins:T:5	3.40E-04	1.12E-08	2.33E-03	8.82E-04
2:Del:R:0	5.02E-04	3.49E-04	1.95E-03	1.78E-03
2:Del:R:1	3.50E-04	1.04E-08	9.15E-04	1.02E-03
2:Del:R:2	1.01E-07	1.68E-08	1.48E-07	2.61E-07
2:Del:R:3	1.91E-07	1.70E-08	2.04E-04	2.12E-05
2:Del:R:4	1.01E-07	1.68E-08	1.48E-07	2.61E-07
2:Del:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
3:Del:R:0	6.53E-04	1.23E-04	1.83E-03	1.49E-03
3:Del:R:1	1.39E-04	1.97E-08	2.41E-04	2.55E-04
