De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature SBS1 (3.10%) & Signature SBS4 (77.00%) & Signature SBS5 (19.90%), 27.15,  24.76, 0.074, 0.97, 0.95
Signature 96-B, Signature SBS1 (0.88%) & Signature SBS2 (17.92%) & Signature SBS4 (31.84%) & Signature SBS5 (30.52%) & Signature SBS17a (7.24%) & Signature SBS17b (11.60%), 31.73,  26.32, 0.093, 0.96, 0.95
