Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
TCGA_38_4625_01A	1.91E-01	1.56E-01	1.39E-01	4.35E-02	7.26E-02	1.03E-01	1.20E-01
TCGA_38_4626_01A	7.62E-02	6.83E-02	6.49E-02	5.79E-02	5.07E-02	9.85E-02	6.61E-02
TCGA_38_4631_01A	2.24E-01	1.08E-01	1.64E-01	2.84E-01	7.57E-02	2.74E-01	1.86E-01
TCGA_38_7271_01A	1.41E-02	2.56E-02	3.27E-02	4.41E-02	1.71E-02	4.51E-02	4.16E-02
TCGA_44_2655_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_2657_01A	1.55E-01	5.45E-02	8.76E-02	2.00E-02	1.32E-01	4.29E-02	4.69E-02
TCGA_44_2659_01A	2.21E-01	2.84E-01	2.39E-01	1.42E-01	1.71E-01	1.31E-01	2.04E-01
TCGA_44_3396_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_3917_01A	1.23E-01	1.32E-01	1.08E-01	8.63E-02	9.07E-02	7.63E-02	1.17E-01
TCGA_44_3918_01A	4.55E-01	3.31E-01	3.62E-01	7.75E-02	1.47E-01	1.06E-01	3.25E-01
TCGA_44_4112_01A	1.41E-02	3.68E-02	3.59E-02	3.02E-02	4.09E-02	3.78E-02	3.94E-02
TCGA_44_5644_01A	2.02E-01	1.10E-01	3.61E-01	2.75E-01	1.45E-01	2.65E-01	2.63E-01
TCGA_44_6145_01A	1.42E-01	9.34E-02	5.81E-02	6.72E-02	3.55E-02	1.52E-01	7.20E-02
TCGA_44_6147_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6774_01A	1.52E-01	1.77E-01	9.42E-02	6.77E-02	7.40E-02	6.82E-02	9.52E-02
TCGA_44_6776_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6779_01A	6.85E-02	2.00E-02	4.35E-02	5.37E-02	2.78E-02	6.61E-02	5.62E-02
TCGA_44_7661_01A	8.59E-02	5.63E-02	7.61E-02	5.75E-02	6.15E-02	7.85E-02	1.05E-01
TCGA_44_7667_01A	1.35E-01	2.28E-01	1.23E-01	9.87E-02	2.16E-01	1.55E-01	1.72E-01
TCGA_44_7670_01A	2.25E-01	1.84E-01	1.02E-01	1.15E-01	8.73E-02	2.12E-01	1.12E-01
TCGA_44_7672_01A	8.82E-02	6.13E-02	6.86E-02	7.76E-02	4.87E-02	1.01E-01	6.44E-02
TCGA_44_8117_01A	2.60E-01	2.21E-01	1.53E-01	2.03E-01	2.37E-01	1.99E-01	1.58E-01
TCGA_44_A4SU_01A	7.04E-02	1.41E-02	0.00E+00	1.00E-02	7.28E-02	0.00E+00	0.00E+00
TCGA_49_4487_01A	1.22E-01	5.26E-02	7.70E-02	4.61E-02	1.08E-01	1.97E-02	6.77E-02
TCGA_49_4488_01A	6.79E-02	7.18E-02	0.00E+00	1.00E-02	1.97E-02	0.00E+00	0.00E+00
TCGA_49_4505_01A	6.37E-02	4.73E-02	6.52E-02	2.78E-02	3.33E-02	4.27E-02	5.74E-02
TCGA_49_4506_01A	1.09E-01	3.71E-02	6.72E-02	1.36E-01	3.94E-02	6.97E-02	5.43E-02
TCGA_49_4507_01A	8.66E-02	9.93E-02	1.32E-01	8.05E-02	1.34E-01	1.06E-01	9.89E-02
TCGA_49_6744_01A	1.64E-01	4.38E-02	1.50E-01	1.15E-01	1.42E-01	1.20E-01	9.55E-02
TCGA_49_6761_01A	2.23E-02	5.12E-02	4.58E-02	6.05E-02	4.79E-02	9.14E-02	6.04E-02
TCGA_49_6767_01A	1.06E-01	8.61E-02	5.80E-02	6.79E-02	7.54E-02	7.40E-02	1.14E-01
TCGA_50_5051_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_50_5941_01A	1.18E-01	1.28E-01	9.84E-02	1.69E-01	1.31E-01	2.02E-01	1.83E-01
TCGA_50_5942_01A	2.81E-02	8.36E-02	4.50E-02	5.00E-02	4.33E-02	5.26E-02	3.62E-02
TCGA_50_6590_01A	3.74E-01	2.08E-01	3.47E-01	2.67E-01	1.67E-01	2.60E-01	2.62E-01
TCGA_50_6592_01A	1.07E-01	1.53E-01	6.60E-02	8.02E-02	7.09E-02	8.33E-02	1.59E-01
TCGA_50_6593_01A	1.25E-01	5.88E-02	0.00E+00	2.81E-02	1.33E-01	0.00E+00	0.00E+00
TCGA_53_7624_01A	2.03E-01	1.91E-01	9.47E-02	2.49E-01	1.13E-01	1.15E-01	1.37E-01
TCGA_53_7813_01A	8.20E-02	9.40E-02	2.23E-02	3.62E-02	3.93E-02	3.26E-02	8.21E-02
TCGA_55_6970_01A	2.00E-02	5.06E-02	4.14E-02	7.91E-02	3.33E-02	5.32E-02	5.26E-02
TCGA_55_6979_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_55_6985_01A	1.68E-01	9.52E-02	1.71E-01	2.20E-01	1.17E-01	2.35E-01	1.34E-01
