Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_44_5645_01A	4.14E-02	6.86E-02	3.39E-02	6.68E-02	1.00E-02	3.94E-02	4.04E-02	9.67E-02
TCGA_44_A479_01A	2.40E-01	2.36E-01	3.19E-01	8.08E-02	3.67E-01	1.32E-01	4.62E-01	3.41E-01
TCGA_49_4510_01A	8.09E-02	6.01E-02	1.05E-01	1.12E-01	1.85E-01	1.04E-01	1.27E-01	1.08E-01
TCGA_49_AARE_01A	1.24E+00	1.23E+00	2.68E+00	1.91E+00	4.97E-01	4.37E-01	9.10E-01	1.25E+00
TCGA_49_AARN_01A	5.56E-01	5.43E-01	6.19E-01	3.96E-01	2.75E-01	2.35E-01	2.73E-01	7.35E-01
TCGA_49_AARO_01A	2.58E-01	1.50E-01	3.55E-02	2.20E-01	1.07E-01	4.61E-02	5.67E-02	2.79E-01
TCGA_49_AARQ_01A	5.97E-02	4.55E-01	2.80E-01	3.68E-01	1.47E-01	1.94E-01	2.70E-01	3.70E-01
TCGA_4B_A93V_01A	3.12E-01	1.17E-01	1.76E-01	1.14E-01	1.48E-01	1.68E-01	1.00E-02	2.83E-01
TCGA_50_8457_01A	9.36E-02	1.06E-01	1.22E-01	1.78E-01	3.24E-01	1.72E-01	2.39E-01	1.75E-01
TCGA_55_7910_01A	1.86E-01	1.97E-01	1.92E-01	1.73E-01	0.00E+00	1.97E-01	3.17E-01	2.46E-01
TCGA_55_7913_01B	4.18E-01	1.62E-01	3.16E-01	3.58E-01	3.22E-01	3.13E-01	5.95E-02	2.76E-01
TCGA_55_8508_01A	2.40E-01	5.77E-01	4.11E-01	1.08E-01	1.34E-01	1.04E-01	5.36E-01	2.00E-01
TCGA_55_8514_01A	4.19E-01	4.10E-01	3.47E-01	4.36E-01	1.16E-01	2.87E-01	3.30E-02	4.50E-01
TCGA_69_8253_01A	5.22E-02	6.87E-02	8.70E-02	6.82E-02	1.43E-01	9.11E-02	5.56E-02	1.07E-01
TCGA_69_A59K_01A	1.67E-01	6.16E-01	4.54E-01	7.19E-01	4.19E-01	2.12E-01	7.19E-01	3.28E-01
TCGA_86_7714_01A	4.45E-02	0.00E+00	1.90E-01	1.08E-01	3.51E-01	1.30E-01	1.74E-01	2.46E-01
TCGA_99_8025_01A	1.32E-01	4.83E-01	3.75E-01	3.43E-01	2.69E-01	2.00E-02	2.51E-01	2.48E-01
TCGA_99_8028_01A	1.56E-01	3.60E-01	2.40E-01	4.39E-01	1.19E-01	1.60E-01	4.75E-01	1.61E-01
TCGA_99_AA5R_01A	9.29E-02	8.45E-02	6.13E-02	0.00E+00	0.00E+00	1.00E-02	2.23E-02	0.00E+00
TCGA_L9_A5IP_01A	3.00E-02	5.85E-01	6.52E-02	4.01E-01	2.23E-02	1.23E-01	4.78E-01	3.32E-01
TCGA_L9_A8F4_01A	4.31E-01	1.68E-01	2.24E-01	2.99E-01	1.91E-01	7.49E-01	3.52E-01	1.69E-01
TCGA_NJ_A4YF_01A	7.57E-01	4.49E-01	5.72E-01	2.19E-01	9.75E-02	2.34E-01	2.55E-01	2.20E-01
TCGA_S2_AA1A_01A	3.55E-02	4.33E-02	2.78E-02	9.39E-02	3.55E-02	6.49E-02	2.43E-02	6.05E-02
