Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
TCGA_44_A479_01A	3.80E-01	5.09E-02	3.43E-01	2.95E-01	1.26E-01	5.67E-02
TCGA_49_AARE_01A	4.68E-01	5.87E-01	4.00E-01	0.00E+00	1.61E-01	2.83E-01
TCGA_49_AARN_01A	1.92E-01	3.27E-01	1.33E-01	9.02E-02	1.77E-01	2.02E-01
TCGA_49_AARO_01A	5.34E-01	3.61E-01	3.91E-01	4.40E-01	4.17E-01	5.17E-02
TCGA_49_AARQ_01A	4.12E-01	4.27E-01	5.28E-01	8.61E-02	2.41E-01	3.05E-01
TCGA_4B_A93V_01A	1.12E-01	6.67E-02	8.73E-02	1.34E-01	4.47E-02	3.89E-02
TCGA_55_7913_01B	2.16E-01	6.65E-02	1.67E-01	1.12E-01	1.85E-01	6.67E-02
TCGA_55_8508_01A	2.51E-01	2.85E-01	2.23E-01	1.21E-01	2.24E-01	9.57E-02
TCGA_55_8514_01A	0.00E+00	1.02E-01	1.41E-02	1.19E-01	0.00E+00	1.55E-01
TCGA_69_A59K_01A	3.04E-01	1.00E-02	3.43E-01	3.43E-01	2.95E-01	7.75E-02
TCGA_86_7714_01A	3.68E-02	2.19E-02	1.97E-02	2.19E-02	1.41E-02	0.00E+00
TCGA_99_8025_01A	1.96E-01	1.46E-01	2.62E-01	2.65E-01	2.01E-01	8.73E-02
TCGA_99_8028_01A	2.54E-01	2.06E-01	1.25E-01	1.98E-01	5.00E-02	2.61E-02
TCGA_99_AA5R_01A	8.09E-02	4.56E-02	6.08E-02	7.06E-02	9.16E-02	4.93E-02
TCGA_L9_A5IP_01A	1.11E-01	1.79E-01	1.16E-01	8.32E-02	1.49E-01	9.37E-02
TCGA_L9_A8F4_01A	4.02E-01	8.17E-02	4.27E-01	4.48E-01	4.38E-01	1.55E-01
TCGA_NJ_A4YF_01A	2.20E-01	1.70E-01	3.06E-01	2.40E-01	3.22E-01	2.49E-01
TCGA_S2_AA1A_01A	1.76E-01	5.51E-02	1.50E-01	2.05E-01	1.67E-01	9.08E-02
