MutationType	ID83A	ID83B	ID83C
1:Del:C:0	7.287342264135077e-06	5.923171752328926e-06	7.15260136132656e-07
1:Del:C:1	0.34682414785027504	0.04906065715044065	0.00965518398898912
1:Del:C:2	0.1464702445117655	0.08310084133769578	0.009120439950813228
1:Del:C:3	0.04632628247397179	0.05961668306368665	3.490452162278219e-08
1:Del:C:4	0.016283425624655953	0.10151792699111598	0.003643318536261595
1:Del:C:5	0.007973492904709412	0.07638844550803427	2.0359976601763874e-07
1:Del:T:0	7.287342264135077e-06	5.923171752328926e-06	7.15260136132656e-07
1:Del:T:1	0.05580687997392943	0.05721915015061313	0.00979612402938983
1:Del:T:2	0.018703033246490575	0.012022171080971254	7.629467629291398e-05
1:Del:T:3	0.005229399708899507	0.03408909070967752	1.4679595736311057e-07
1:Del:T:4	0.010345657735974782	0.013637007173194675	0.0007328076950446771
1:Del:T:5	0.0013394016121429067	0.04663166609240193	0.0018630160329517053
1:Ins:C:0	0.004343852220363296	0.0045334632919778175	0.027958186669275166
1:Ins:C:1	0.007551204241772211	0.005704525161633853	0.00648045299841506
1:Ins:C:2	0.007616237977340461	0.009271251475281303	0.0004932216266306888
1:Ins:C:3	0.009361788806384084	0.0054206455137207855	1.726395393930602e-07
1:Ins:C:4	0.003013666102933712	0.016028816566384874	0.0028651832717973493
1:Ins:C:5	0.003006230574696129	0.04365129343920671	0.0003693936355411509
1:Ins:T:0	0.022582245685932777	0.012591261356861496	0.042600686643272635
1:Ins:T:1	0.06409325281096244	0.02194246521771646	0.01630890615284443
1:Ins:T:2	0.03396227826179143	0.026861999271775402	0.005366315941109665
1:Ins:T:3	0.007857304954135813	0.008243916216250114	0.0025708644231953316
1:Ins:T:4	0.0037859498191869533	0.010920092203162141	0.000560627119265007
1:Ins:T:5	0.0018336028177564677	0.05927701050182918	1.8174100222978494e-07
2:Del:R:0	0.004660165076329849	0.030349855271564367	0.006059591502362665
2:Del:R:1	0.0031738913504420906	0.012015409638417794	1.9984357706448464e-07
2:Del:R:2	7.287342264135077e-06	5.923171752328926e-06	7.15260136132656e-07
2:Del:R:3	3.5386206332077566e-05	0.0012223920067458494	5.506738541782852e-07
2:Del:R:4	7.287342264135077e-06	5.923171752328926e-06	7.15260136132656e-07
2:Del:R:5	7.2873422959673916e-06	5.923171825088502e-06	7.152601335747022e-07
3:Del:R:0	0.004485856990550588	0.01892890007797291	0.0005684324455640066
3:Del:R:1	0.0011885196120010732	0.0009134158175794483	3.9107973563545785e-07
3:Del:R:2	7.287342264135077e-06	5.923171752328926e-06	7.15260136132656e-07
3:Del:R:3	7.2873422959673916e-06	5.923171825088502e-06	7.152601335747022e-07
3:Del:R:4	7.287342264135077e-06	5.923171752328926e-06	7.15260136132656e-07
3:Del:R:5	7.2873422959673916e-06	5.923171825088502e-06	7.152601335747022e-07
4:Del:R:0	0.0027526233852096025	0.018466655855589806	0.006119189527961595
4:Del:R:1	0.0013910436806281723	0.0010454895610322978	3.529662591716942e-07
4:Del:R:2	7.287342264135077e-06	5.923171752328926e-06	7.15260136132656e-07
4:Del:R:3	7.2873422959673916e-06	5.923171825088502e-06	7.152601335747022e-07
