Samples	SBS96A	SBS96B	SBS96C
TCGA_38_4625_01A	1.67E+00	1.78E+00	1.05E+00
TCGA_38_4626_01A	9.39E-01	7.93E-01	5.76E-01
TCGA_38_4627_01A	4.25E-01	2.53E-01	5.09E-01
TCGA_38_4631_01A	2.29E+00	1.20E+00	1.97E+00
TCGA_38_7271_01A	5.51E-01	5.54E-01	5.70E-02
TCGA_44_2655_01A	5.21E-01	5.33E-01	1.83E-01
TCGA_44_2657_01A	1.59E+00	1.13E+00	1.50E+00
TCGA_44_2659_01A	1.61E+00	9.18E-01	1.46E+00
TCGA_44_3396_01A	1.13E+00	1.40E+00	1.40E+00
TCGA_44_3917_01A	1.27E+00	8.71E-01	1.27E+00
TCGA_44_3918_01A	2.03E+00	1.80E+00	1.79E+00
TCGA_44_4112_01A	1.52E+00	1.49E+00	8.84E-01
TCGA_44_5644_01A	2.85E+00	1.71E+00	2.99E+00
TCGA_44_6145_01A	1.03E+00	6.96E-01	1.09E+00
TCGA_44_6147_01A	8.43E-01	5.63E-01	8.12E-01
TCGA_44_6774_01A	9.47E-01	6.47E-01	8.18E-01
TCGA_44_6775_01A	1.13E+00	7.15E-01	1.34E+00
TCGA_44_6776_01A	1.20E+00	6.85E-01	1.19E+00
TCGA_44_6779_01A	1.10E+00	4.54E-01	1.16E+00
TCGA_44_7661_01A	1.50E+00	1.22E+00	1.27E+00
TCGA_44_7667_01A	2.13E+00	1.11E+00	2.18E+00
TCGA_44_7670_01A	2.92E+00	2.35E+00	2.74E+00
TCGA_44_7672_01A	1.02E+00	7.14E-01	1.00E+00
TCGA_44_8117_01A	2.25E+00	1.35E+00	2.11E+00
TCGA_44_A47G_01A	9.21E-01	7.77E-01	1.19E+00
TCGA_44_A4SU_01A	1.25E+00	5.55E-01	1.23E+00
TCGA_49_4487_01A	1.60E+00	1.44E+00	1.57E+00
TCGA_49_4488_01A	1.12E+00	8.06E-01	1.13E+00
TCGA_49_4490_01A	1.00E-01	7.42E-01	7.47E-01
TCGA_49_4505_01A	1.13E+00	7.23E-01	1.19E+00
TCGA_49_4506_01A	9.87E-01	4.29E-01	1.07E+00
TCGA_49_4507_01A	1.41E+00	1.18E+00	1.43E+00
TCGA_49_6744_01A	9.56E-01	6.83E-01	8.96E-01
TCGA_49_6761_01A	1.08E+00	1.25E+00	1.32E+00
TCGA_49_6767_01A	1.70E+00	1.14E+00	1.52E+00
TCGA_50_5051_01A	9.20E-01	5.65E-01	1.00E+00
TCGA_50_5941_01A	1.74E+00	1.24E+00	1.52E+00
TCGA_50_5942_01A	8.82E-01	4.24E-01	9.77E-01
TCGA_50_6590_01A	2.62E+00	2.55E+00	1.90E+00
TCGA_50_6592_01A	1.62E+00	1.42E+00	1.78E+00
TCGA_50_6593_01A	1.50E+00	1.15E+00	1.54E+00
TCGA_50_6595_01A	8.93E-01	9.88E-01	1.24E+00
TCGA_53_7624_01A	2.58E+00	2.32E+00	2.47E+00
TCGA_53_7813_01A	1.11E+00	3.39E-01	1.12E+00
TCGA_55_6543_01A	1.26E-01	6.20E-02	1.43E-01
TCGA_55_6970_01A	1.26E+00	6.00E-01	1.16E+00
TCGA_55_6971_01A	1.02E+00	6.39E-01	1.18E+00
TCGA_55_6979_01A	8.68E-01	9.41E-01	6.65E-01
TCGA_55_6981_01A	3.38E-01	4.80E-01	5.91E-01
TCGA_55_6985_01A	1.77E+00	9.49E-01	1.63E+00
TCGA_55_7281_01A	1.67E+00	1.32E+00	1.56E+00
TCGA_55_7573_01A	7.26E-01	5.78E-01	7.16E-01
TCGA_55_7574_01A	1.26E+00	1.35E+00	8.17E-01
TCGA_55_7725_01A	8.52E-01	4.60E-01	9.58E-01
TCGA_55_7726_01A	5.71E-01	9.47E-01	8.15E-01
TCGA_55_7728_01A	8.03E-01	3.66E-01	8.23E-01
TCGA_55_7911_01A	1.43E+00	8.79E-01	1.47E+00
TCGA_55_7914_01A	1.32E+00	9.63E-01	1.57E+00
TCGA_55_7995_01A	2.51E+00	2.40E+00	2.76E+00
TCGA_55_8096_01A	1.02E+00	6.73E-01	8.93E-01
TCGA_55_8097_01A	1.33E+00	6.81E-01	1.49E+00
TCGA_55_8203_01A	1.51E+00	7.46E-01	1.43E+00
TCGA_55_8208_01A	1.49E+00	1.90E+00	1.59E+00
TCGA_55_8299_01A	1.15E+00	7.19E-01	9.55E-01
TCGA_55_8506_01A	7.49E+00	1.59E+00	7.44E+00
TCGA_55_8510_01A	1.18E+00	1.06E+00	1.16E+00
TCGA_55_8511_01A	2.14E+00	1.42E+00	2.04E+00
TCGA_55_8616_01A	1.63E+00	1.12E+00	1.56E+00
TCGA_55_A48X_01A	1.40E+00	9.76E-01	1.07E+00
TCGA_55_A48Z_01A	8.70E-01	4.54E-01	1.02E+00
TCGA_55_A492_01A	1.68E+00	8.60E-01	1.62E+00
TCGA_55_A493_01A	1.72E+00	1.41E+00	1.57E+00
TCGA_55_A494_01A	1.53E+00	6.57E-01	1.63E+00
TCGA_62_A46O_01A	2.76E+00	2.46E+00	2.54E+00
TCGA_62_A46R_01A	1.39E+00	1.04E+00	1.66E+00
TCGA_64_1679_01A	1.53E+00	1.22E+00	1.26E+00
TCGA_64_1681_01A	7.83E-01	9.65E-01	1.21E+00
TCGA_64_5781_01A	3.08E+00	2.22E+00	2.47E+00
TCGA_67_3770_01A	1.60E+00	6.44E-01	1.65E+00
TCGA_67_3774_01A	1.14E+00	5.76E-01	1.15E+00
TCGA_67_6217_01A	1.26E+00	7.23E-01	1.37E+00
TCGA_69_7973_01A	1.22E+00	5.57E-01	1.23E+00
TCGA_69_7974_01A	1.66E+00	1.12E+00	1.68E+00
TCGA_69_7979_01A	2.86E+00	2.23E+00	2.50E+00
TCGA_69_7980_01A	2.65E+00	2.37E+00	2.36E+00
TCGA_73_4662_01A	1.30E+00	8.43E-01	1.40E+00
TCGA_73_4666_01A	1.68E+00	1.09E+00	1.59E+00
TCGA_73_4670_01A	2.15E+00	1.13E+00	2.57E+00
TCGA_73_7498_01A	1.05E+00	5.42E-01	1.07E+00
TCGA_78_7145_01A	1.30E+00	7.18E-01	1.24E+00
TCGA_78_7146_01A	1.75E+00	1.61E+00	1.86E+00
TCGA_78_7147_01A	1.78E+00	1.39E+00	1.83E+00
TCGA_78_7153_01A	1.13E+00	1.04E+00	1.39E+00
TCGA_78_7158_01A	1.46E+00	1.07E+00	1.28E+00
TCGA_78_7159_01A	1.55E+00	7.64E-01	1.54E+00
TCGA_78_7161_01A	1.20E+00	6.73E-01	1.25E+00
TCGA_78_7220_01A	2.74E+00	2.17E+00	2.82E+00
TCGA_83_5908_01A	1.32E+00	1.19E+00	9.87E-01
TCGA_86_6851_01A	2.48E+00	2.16E+00	2.01E+00
TCGA_86_7954_01A	1.48E+00	1.25E+00	1.72E+00
TCGA_86_8056_01A	1.32E+00	1.35E+00	1.32E+00
TCGA_86_8074_01A	9.69E-01	5.77E-01	1.14E+00
TCGA_91_6830_01A	8.47E-01	9.43E-01	5.10E-01
TCGA_91_6836_01A	1.79E+00	9.35E-01	1.69E+00
TCGA_91_6840_01A	5.87E-01	1.27E+00	1.29E+00
TCGA_91_6847_01A	8.12E-01	7.99E-01	1.06E+00
TCGA_95_7039_01A	3.05E+00	2.04E+00	2.80E+00
TCGA_95_7043_01A	2.24E+00	1.58E+00	1.78E+00
TCGA_95_7948_01A	0.00E+00	3.62E-01	3.62E-01
TCGA_95_A4VK_01A	1.55E+00	7.98E-01	1.58E+00
TCGA_95_A4VN_01A	1.77E+00	1.22E+00	1.56E+00
