Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
TCGA_38_4625_01A	1.98E-01	1.44E-01	1.97E-02	6.01E-02	5.98E-02	7.44E-02	1.55E-01	1.47E-01
TCGA_38_4626_01A	7.96E-02	5.32E-02	6.01E-02	6.57E-02	4.93E-02	9.86E-02	5.98E-02	4.11E-02
TCGA_38_4631_01A	2.10E-01	5.07E-02	1.76E-01	1.10E-01	2.82E-01	2.13E-01	1.07E-01	1.42E-01
TCGA_38_7271_01A	0.00E+00	2.88E-02	3.94E-02	2.73E-02	3.59E-02	3.94E-02	4.02E-02	3.02E-02
TCGA_44_2655_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_2657_01A	1.46E-01	3.79E-02	2.61E-02	1.39E-01	1.41E-02	1.97E-02	6.47E-02	2.39E-02
TCGA_44_2659_01A	2.12E-01	2.25E-01	2.12E-01	1.44E-01	1.58E-01	1.31E-01	1.48E-01	1.21E-01
TCGA_44_3396_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_3917_01A	1.24E-01	1.17E-01	1.23E-01	6.30E-02	8.89E-02	2.93E-02	5.79E-02	1.15E-01
TCGA_44_3918_01A	3.67E-01	2.56E-01	1.60E-01	1.35E-01	1.35E-01	1.35E-01	3.08E-01	1.14E-01
TCGA_44_4112_01A	1.00E-02	2.56E-02	3.86E-02	3.68E-02	2.73E-02	3.78E-02	3.27E-02	4.09E-02
TCGA_44_5644_01A	1.90E-01	7.44E-02	2.34E-01	1.63E-01	2.92E-01	1.57E-01	3.32E-01	1.64E-01
TCGA_44_6145_01A	1.21E-01	6.03E-02	3.55E-02	7.26E-02	7.44E-02	1.28E-01	1.41E-02	5.51E-02
TCGA_44_6147_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6774_01A	1.42E-01	1.74E-01	9.44E-02	3.30E-02	3.55E-02	5.86E-02	9.67E-02	7.50E-02
TCGA_44_6776_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6779_01A	6.85E-02	2.43E-02	5.62E-02	3.39E-02	5.37E-02	4.51E-02	4.73E-02	4.72E-02
TCGA_44_7661_01A	8.35E-02	5.39E-02	7.90E-02	5.79E-02	5.57E-02	6.94E-02	7.61E-02	8.45E-02
TCGA_44_7667_01A	1.34E-01	2.27E-01	1.91E-01	2.09E-01	5.33E-02	1.34E-01	1.38E-01	1.11E-01
TCGA_44_7670_01A	1.82E-01	1.79E-01	1.09E-01	1.01E-01	1.03E-01	1.65E-01	9.31E-02	8.93E-02
