Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	15	0.858	14.541	96.94%	3.213	52.821%	0.97068	0.848
TCGA_38_4626_01A	11	0.906	8.486	77.145%	1.916	43.956%	0.60566	0.898
TCGA_38_4627_01A	3	0.17	5.624	187.467%	2.274	101.696%	2.96558	0.127
TCGA_38_4631_01A	34	0.944	22.638	66.582%	5.661	40.029%	0.45646	0.944
TCGA_38_7271_01A	4	0.738	4.521	113.025%	1.743	71.158%	1.03852	0.733
TCGA_44_2655_01A	10	0.484	13.584	135.84%	3.533	94.423%	1.67617	0.425
TCGA_44_2657_01A	9	0.874	9.502	105.578%	3.226	59.905%	0.92837	0.879
TCGA_44_2659_01A	28	0.627	27.131	96.896%	7.41	82.846%	0.75012	0.572
TCGA_44_3396_01A	11	0.515	14.689	133.536%	3.924	90.023%	1.40177	0.465
TCGA_44_3917_01A	4	0.876	4.981	124.525%	2.15	67.989%	0.99739	0.892
TCGA_44_3918_01A	38	0.942	23.455	61.724%	5.585	36.988%	0.39593	0.938
TCGA_44_4112_01A	21	0.873	14.87	70.81%	3.172	49.538%	0.53439	0.853
TCGA_44_5644_01A	41	0.927	23.179	56.534%	5.16	37.734%	0.35762	0.918
TCGA_44_6145_01A	11	0.898	11.131	101.191%	3.201	54.107%	0.85334	0.902
TCGA_44_6147_01A	7	0.651	8.42	120.286%	2.518	75.921%	1.30608	0.626
TCGA_44_6774_01A	10	0.859	10.108	101.08%	2.562	54.622%	0.87227	0.853
TCGA_44_6775_01A	4	0.532	5.593	139.825%	2.175	108.75%	2.45312	0.513
TCGA_44_6776_01A	13	0.824	11.049	84.992%	2.725	56.82%	0.95908	0.806
TCGA_44_6779_01A	5	0.693	6.029	120.58%	1.927	72.834%	1.23801	0.677
TCGA_44_7661_01A	11	0.892	10.9	99.091%	2.79	51.809%	0.85396	0.891
TCGA_44_7667_01A	19	0.862	15.617	82.195%	3.705	50.892%	0.70943	0.849
TCGA_44_7670_01A	46	0.888	30.672	66.678%	7.817	46.062%	0.43695	0.877
TCGA_44_7672_01A	15	0.693	15.603	104.02%	3.812	73.362%	0.85811	0.652
TCGA_44_8117_01A	23	0.919	18.656	81.113%	4.531	44.645%	0.62171	0.917
TCGA_44_A47G_01A	17	0.861	15.067	88.629%	4.477	69.919%	0.71987	0.854
TCGA_44_A4SU_01A	5	0.741	7.213	144.26%	2.4	72.363%	2.14324	0.739
TCGA_49_4487_01A	24	0.759	18.852	78.55%	5.933	65.519%	0.70036	0.733
TCGA_49_4488_01A	16	0.768	15.2	95.0%	4.68	64.9%	0.74869	0.753
TCGA_49_4490_01A	4	0.31	6.447	161.175%	2.005	100.25%	2.08608	0.255
TCGA_49_4505_01A	11	0.553	13.613	123.755%	3.385	87.4%	1.19936	0.494
TCGA_49_4506_01A	9	0.66	9.974	110.822%	2.36	78.667%	1.08212	0.613
TCGA_49_4507_01A	8	0.631	9.976	124.7%	2.707	78.144%	1.38116	0.598
TCGA_49_6744_01A	9	0.712	9.705	107.833%	2.546	70.613%	1.47742	0.684
TCGA_49_6761_01A	5	0.244	8.538	170.76%	2.726	103.033%	2.04685	0.187
TCGA_49_6767_01A	17	0.921	11.563	68.018%	2.645	40.336%	0.6142	0.915
TCGA_50_5051_01A	9	0.602	11.186	124.289%	2.951	81.846%	1.39175	0.562
TCGA_50_5941_01A	26	0.775	22.066	84.869%	5.632	65.471%	0.82262	0.746
TCGA_50_5942_01A	5	0.566	6.055	121.1%	2.182	82.472%	1.69421	0.538
TCGA_50_6590_01A	33	0.831	24.595	74.53%	6.268	56.517%	0.53182	0.81
TCGA_50_6592_01A	15	0.732	15.494	103.293%	3.747	69.58%	0.9886	0.701
TCGA_50_6593_01A	14	0.725	14.606	104.329%	3.213	71.845%	1.04743	0.685
TCGA_50_6595_01A	4	0.478	5.323	133.075%	2.153	87.896%	1.74041	0.451
TCGA_53_7624_01A	24	0.918	16.101	67.088%	3.426	39.826%	0.49266	0.91
TCGA_53_7813_01A	9	0.742	9.064	100.711%	2.424	67.23%	0.96785	0.717
TCGA_55_6543_01A	2	0.164	3.709	185.45%	1.45	102.53%	2.82819	0.118
TCGA_55_6970_01A	5	0.84	5.492	109.84%	1.579	59.681%	1.0062	0.837
TCGA_55_6971_01A	6	0.714	6.929	115.483%	1.984	70.145%	1.03901	0.695
TCGA_55_6979_01A	7	0.726	7.622	108.886%	2.29	69.046%	1.23571	0.708
TCGA_55_6981_01A	4	0.538	5.302	132.55%	1.695	84.75%	2.16795	0.505
TCGA_55_6985_01A	15	0.858	12.6	84.0%	3.168	52.082%	0.75763	0.846
TCGA_55_7281_01A	17	0.928	10.578	62.224%	2.369	37.934%	0.51282	0.921
TCGA_55_7573_01A	6	0.787	6.577	109.617%	1.78	62.933%	1.32144	0.774
TCGA_55_7574_01A	9	0.785	10.052	111.689%	2.408	62.174%	1.40593	0.768
TCGA_55_7725_01A	12	0.832	12.343	102.858%	3.416	58.584%	0.83509	0.825
TCGA_55_7726_01A	4	0.67	5.851	146.275%	1.86	75.934%	1.94889	0.659
TCGA_55_7728_01A	2	0.088	3.843	192.15%	1.495	105.712%	3.54205	0.037
TCGA_55_7911_01A	12	0.804	13.38	111.5%	3.457	61.112%	1.11721	0.793
TCGA_55_7914_01A	5	0.399	7.2	144.0%	2.158	96.509%	1.55525	0.345
TCGA_55_7995_01A	19	0.63	20.676	108.821%	5.486	81.78%	0.84727	0.586
TCGA_55_8096_01A	7	0.651	7.63	109.0%	2.28	76.0%	1.22756	0.619
TCGA_55_8097_01A	6	0.651	8.025	133.75%	2.148	75.943%	1.80945	0.625
TCGA_55_8203_01A	15	0.909	11.485	76.567%	2.631	44.472%	0.59449	0.903
TCGA_55_8208_01A	12	0.783	12.976	108.133%	3.849	64.15%	0.93806	0.772
TCGA_55_8299_01A	6	0.807	7.383	123.05%	2.242	64.721%	1.66861	0.805
TCGA_55_8506_01A	160	0.45	166.066	103.791%	50.536	109.913%	0.83332	0.365
TCGA_55_8510_01A	18	0.835	17.214	95.633%	4.161	55.604%	0.74216	0.822
TCGA_55_8511_01A	22	0.753	21.138	96.082%	5.467	66.297%	0.97998	0.727
TCGA_55_8616_01A	283	0.999	36.71	12.972%	11.84	6.602%	0.03942	0.999
TCGA_55_A48X_01A	19	0.928	14.726	77.505%	3.466	38.996%	0.82079	0.924
TCGA_55_A48Z_01A	1	0.183	1.885	188.5%	0.992	99.2%	2.8559	0.156
TCGA_55_A492_01A	75	0.985	37.047	49.396%	8.677	21.138%	0.3054	0.985
TCGA_55_A493_01A	97	0.996	23.251	23.97%	5.952	9.875%	0.1366	0.996
TCGA_55_A494_01A	9	0.577	10.832	120.356%	2.855	86.081%	1.17048	0.529
TCGA_62_A46O_01A	115	0.992	35.559	30.921%	7.67	14.426%	0.15354	0.992
TCGA_62_A46R_01A	11	0.709	10.928	99.345%	2.913	70.651%	0.97659	0.676
TCGA_64_1679_01A	21	0.829	22.639	107.805%	5.57	57.758%	1.09447	0.82
TCGA_64_1681_01A	5	0.091	9.36	187.2%	2.611	116.767%	3.07117	0.006
TCGA_64_5781_01A	43	0.933	24.681	57.398%	5.951	37.121%	0.35611	0.927
TCGA_67_3770_01A	9	0.756	10.888	120.978%	2.734	66.309%	1.47058	0.74
TCGA_67_3774_01A	7	0.175	11.787	168.386%	3.393	113.1%	2.28764	0.094
