MutationType	ID83A	ID83B
1:Del:C:0	0.00000657	0.00000098
1:Del:C:1	0.24557769	0.01026393
1:Del:C:2	0.13180111	0.01002432
1:Del:C:3	0.05384533	0.00000024
1:Del:C:4	0.04694172	0.00423286
1:Del:C:5	0.03196295	0.00004440
1:Del:T:0	0.00000657	0.00000098
1:Del:T:1	0.05626775	0.01019106
1:Del:T:2	0.01673372	0.00008488
1:Del:T:3	0.01519521	0.00000022
1:Del:T:4	0.01075807	0.00098577
1:Del:T:5	0.01697997	0.00194516
1:Ins:C:0	0.00389734	0.02928485
1:Ins:C:1	0.00628152	0.00718482
1:Ins:C:2	0.00819604	0.00071262
1:Ins:C:3	0.00818394	0.00000021
1:Ins:C:4	0.00721071	0.00329762
1:Ins:C:5	0.01665340	0.00026309
1:Ins:T:0	0.01953617	0.04253507
1:Ins:T:1	0.05200978	0.01620219
1:Ins:T:2	0.03301914	0.00536657
1:Ins:T:3	0.00819525	0.00286001
1:Ins:T:4	0.00625191	0.00047586
1:Ins:T:5	0.02165163	0.00000026
2:Del:R:0	0.01292604	0.00626947
2:Del:R:1	0.00594502	0.00000021
2:Del:R:2	0.00000657	0.00000098
2:Del:R:3	0.00044257	0.00000058
2:Del:R:4	0.00000657	0.00000098
2:Del:R:5	0.00000657	0.00000098
3:Del:R:0	0.00903524	0.00117820
3:Del:R:1	0.00110142	0.00008084
3:Del:R:2	0.00000657	0.00000098
3:Del:R:3	0.00000657	0.00000098
3:Del:R:4	0.00000657	0.00000098
3:Del:R:5	0.00000657	0.00000098
4:Del:R:0	0.00640285	0.00889482
4:Del:R:1	0.00109598	0.00014499
4:Del:R:2	0.00000657	0.00000098
4:Del:R:3	0.00000657	0.00000098
4:Del:R:4	0.00000657	0.00000098
4:Del:R:5	0.00000657	0.00000098
5:Del:R:0	0.05750426	0.02226633
5:Del:R:1	0.00000657	0.00000098
5:Del:R:2	0.00000657	0.00000098
5:Del:R:3	0.00000657	0.00000098
5:Del:R:4	0.00000657	0.00000098
5:Del:R:5	0.00000657	0.00000098
2:Ins:R:0	0.00238880	0.05909727
2:Ins:R:1	0.00315217	0.00172255
2:Ins:R:2	0.00054524	0.00003105
2:Ins:R:3	0.00055108	0.00000055
2:Ins:R:4	0.00051951	0.00000051
2:Ins:R:5	0.00000657	0.00000098
3:Ins:R:0	0.00000858	0.06186781
3:Ins:R:1	0.00184130	0.00000036
3:Ins:R:2	0.00039534	0.00050250
3:Ins:R:3	0.00000657	0.00000098
3:Ins:R:4	0.00000657	0.00000098
3:Ins:R:5	0.00000657	0.00000098
4:Ins:R:0	0.00000389	0.05845386
4:Ins:R:1	0.00012225	0.00272568
4:Ins:R:2	0.00000657	0.00000098
4:Ins:R:3	0.00054641	0.00004649
4:Ins:R:4	0.00000657	0.00000098
4:Ins:R:5	0.00000657	0.00000098
5:Ins:R:0	0.00000000	0.59412076
5:Ins:R:1	0.01142196	0.00000023
5:Ins:R:2	0.00054608	0.00004576
5:Ins:R:3	0.00000657	0.00000098
5:Ins:R:4	0.00000657	0.00000098
5:Ins:R:5	0.00000657	0.00000098
2:Del:M:1	0.01273084	0.01567563
3:Del:M:1	0.00286289	0.00304993
3:Del:M:2	0.00137869	0.00323324
4:Del:M:1	0.00456116	0.00200388
4:Del:M:2	0.00144798	0.00026768
4:Del:M:3	0.00041607	0.00004828
5:Del:M:1	0.03273294	0.00737778
5:Del:M:2	0.00531760	0.00471762
5:Del:M:3	0.00422042	0.00014481
5:Del:M:4	0.00049445	0.00004591
5:Del:M:5	0.00000657	0.00000098
